h3 cell id (minus ffffffff), lat, lon, is land (L) or contains some land (l)
8409103,63.11,-1.34,
8409105,62.55,-1.55,
8409107,62.78,-1.06,
8409115,63.34,-0.84,
8409117,63.56,-0.34,
8409121,62.1,-0.52,
8409123,62.32,-0.04,
8409125,61.75,-0.26,
8409127,61.98,0.22,
8409129,62.21,-1.28,
840912b,62.44,-0.79,
840912d,61.87,-1.01,
8409131,62.89,0.19,
8409135,62.55,0.45,
8409139,63.0,-0.57,
840913b,63.22,-0.07,
840913d,62.66,-0.3,
8409161,62.08,-2.51,
8409163,62.32,-2.03,
8409165,61.74,-2.23,
8409167,61.98,-1.76,
8409a01,60.48,0.03,
8409a03,60.72,0.49,
8409a05,60.13,0.27,
8409a07,60.37,0.74,
8409a09,60.6,-0.69,l
8409a0b,60.83,-0.23,
8409a0d,60.25,-0.44,
8409a11,61.29,0.72,
8409a13,61.52,1.2,
8409a15,60.95,0.96,
8409a17,61.17,1.44,
8409a19,61.41,-0.01,
8409a1b,61.64,0.47,
8409a1d,61.06,0.25,
8409a21,59.66,1.21,
8409a23,59.9,1.67,
8409a25,59.31,1.44,
8409a27,59.54,1.9,
8409a29,59.78,0.51,
8409a2b,60.02,0.97,
8409a2d,59.43,0.75,
8409a31,60.48,1.91,
8409a39,60.6,1.2,
8409a3b,60.83,1.67,
8409a3d,60.25,1.44,
8409a41,60.46,-1.88,l
8409a43,60.71,-1.42,l
8409a45,60.12,-1.62,l
8409a47,60.36,-1.16,L
8409a49,60.57,-2.61,
8409a4b,60.81,-2.15,
8409a4d,60.22,-2.34,
8409a51,61.29,-1.21,
8409a53,61.52,-0.74,
8409a55,60.94,-0.95,l
8409a57,61.18,-0.48,
8409a59,61.4,-1.96,
8409a5b,61.63,-1.48,
8409a5d,61.05,-1.68,
8409a61,59.66,-0.65,
8409a63,59.9,-0.19,
8409a65,59.3,-0.4,
8409a67,59.54,0.06,
8409a69,59.76,-1.36,l
8409a6b,60.01,-0.9,l
8409a6d,59.41,-1.1,
8409ac9,62.21,0.7,
8409acd,61.86,0.95,
8409b01,58.0,1.66,
8409b05,57.64,1.88,
8409b09,58.12,0.99,
8409b0b,58.36,1.44,
8409b0d,57.76,1.22,
8409b19,58.95,1.67,
8409b29,57.28,2.09,
8409b2d,56.91,2.3,
8409b41,57.99,-0.12,
8409b43,58.23,0.32,
8409b45,57.63,0.11,
8409b47,57.87,0.55,
8409b49,58.1,-0.8,
8409b4b,58.35,-0.36,
8409b4d,57.74,-0.56,
8409b51,58.83,0.53,
8409b53,59.07,0.98,
8409b55,58.48,0.77,
8409b57,58.72,1.21,
8409b59,58.95,-0.15,
8409b5b,59.19,0.3,
8409b5d,58.59,0.08,
8409b61,57.15,1.0,
8409b63,57.4,1.44,
8409b65,56.79,1.22,
8409b67,57.03,1.66,
8409b69,57.27,0.34,
8409b6b,57.51,0.78,
8409b6d,56.9,0.57,
8418091,49.26,-8.37,
8418093,48.88,-8.11,
8418095,49.32,-9.0,
8418097,48.94,-8.73,
8418099,49.58,-8.02,
841809b,49.2,-7.75,
841809d,49.64,-8.64,
84180d1,50.28,-7.92,
84180d3,49.9,-7.66,
84180d7,49.96,-8.28,
84180db,50.22,-7.29,
8418211,54.06,-7.7,l
8418219,54.36,-7.31,L
841821d,54.42,-7.98,L
8418251,55.01,-7.2,L
8418253,54.65,-6.91,L
8418257,54.72,-7.59,L
8418259,55.31,-6.8,l
841825b,54.94,-6.52,L
8418291,51.45,-5.81,
8418293,51.07,-5.56,
8418297,51.15,-6.19,
8418299,51.75,-5.43,l
841829b,51.38,-5.18,
84182d1,52.43,-5.31,
84182d3,52.05,-5.05,l
84182d9,52.72,-4.92,
84182db,52.35,-4.67,
841854d,48.82,-7.49,
8418565,48.29,-9.43,
8418569,48.56,-8.46,
841856d,48.61,-9.08,
841864d,50.38,-0.69,
8418669,50.19,-1.66,
841866d,50.28,-2.26,
8418701,49.63,-5.19,
8418705,49.7,-5.8,
8418707,49.32,-5.55,
8418709,49.93,-4.82,l
841870b,49.55,-4.58,
841870d,50.01,-5.43,l
8418721,49.46,-6.78,
8418723,49.08,-6.52,
8418725,49.52,-7.39,
8418727,49.14,-7.14,
8418729,49.77,-6.41,
841872b,49.39,-6.16,
841872d,49.84,-7.03,
8418741,50.62,-4.69,L
8418743,50.24,-4.45,l
8418745,50.7,-5.31,
8418747,50.31,-5.06,L
8418749,50.92,-4.31,L
841874b,50.54,-4.07,L
841874d,51.0,-4.93,
8418751,49.77,-3.6,
8418755,49.85,-4.21,
8418759,50.07,-3.23,
841875d,50.16,-3.84,l
8418761,50.46,-6.3,
8418763,50.08,-6.05,
8418765,50.53,-6.93,
8418767,50.15,-6.67,
8418769,50.77,-5.93,
841876b,50.39,-5.68,
841876d,50.84,-6.56,
8418e51,48.0,-10.39,
8418e5b,47.96,-9.77,
8419001,59.35,-8.26,
8419003,59.0,-7.94,
8419005,59.41,-9.01,
8419007,59.07,-8.69,
8419009,59.62,-7.83,
841900b,59.27,-7.51,
841900d,59.69,-8.59,
8419011,58.58,-6.9,
8419013,58.23,-6.6,L
8419015,58.65,-7.63,
8419017,58.3,-7.32,l
8419019,58.85,-6.47,
841901b,58.5,-6.17,l
841901d,58.93,-7.2,
8419021,59.2,-10.19,
8419023,58.85,-9.86,
8419025,59.25,-10.95,
8419027,58.91,-10.61,
8419029,59.48,-9.77,
841902b,59.13,-9.44,
841902d,59.54,-10.53,
8419031,58.44,-8.79,
8419033,58.09,-8.47,
8419035,58.51,-9.53,
8419037,58.16,-9.21,
8419039,58.72,-8.37,
841903b,58.37,-8.05,
841903d,58.79,-9.11,
8419043,59.89,-7.39,
8419047,59.96,-8.15,
841904b,60.16,-6.95,
8419051,59.47,-6.34,
8419053,59.12,-6.04,
8419055,59.55,-7.08,
8419057,59.2,-6.77,
8419059,59.73,-5.9,
841905b,59.38,-5.6,
841905d,59.81,-6.64,
8419063,59.76,-9.35,
8419067,59.82,-10.11,
841906b,60.03,-8.91,
8419081,56.88,-6.14,l
8419083,56.52,-5.86,L
8419085,56.96,-6.85,
8419087,56.6,-6.56,l
8419089,57.16,-5.73,l
841908b,56.8,-5.44,L
841908d,57.24,-6.43,L
8419091,56.08,-4.9,L
8419093,55.71,-4.63,L
8419095,56.16,-5.58,L
8419097,55.8,-5.31,l
8419099,56.35,-4.48,L
841909b,55.99,-4.22,L
841909d,56.44,-5.17,L
84190a1,56.75,-7.96,
84190a3,56.39,-7.67,
84190a5,56.81,-8.68,
84190a7,56.46,-8.37,
84190a9,57.03,-7.55,l
84190ab,56.68,-7.26,
84190ad,57.1,-8.27,
84190b1,55.96,-6.68,l
84190b3,55.59,-6.4,l
84190b5,56.03,-7.37,
84190b9,56.24,-6.27,l
84190bb,55.88,-5.99,l
84190bd,56.32,-6.97,
84190c1,57.79,-5.59,L
84190c3,57.43,-5.31,L
84190c5,57.87,-6.3,l
84190c7,57.52,-6.01,l
84190c9,58.06,-5.16,L
84190cb,57.71,-4.88,L
84190cd,58.15,-5.88,
84190d1,56.99,-4.33,L
84190d3,56.63,-4.06,L
84190d5,57.08,-5.03,L
84190d7,56.72,-4.75,L
84190d9,57.26,-3.91,L
84190db,56.9,-3.64,L
84190dd,57.35,-4.6,L
84190e1,57.67,-7.44,l
84190e3,57.32,-7.14,l
84190e5,57.74,-8.16,
84190e7,57.39,-7.86,
84190e9,57.95,-7.02,l
84190eb,57.6,-6.72,l
84190ed,58.02,-7.75,
8419101,59.73,-13.62,
8419103,59.4,-13.26,
8419109,60.02,-13.21,
841910b,59.69,-12.85,
8419111,59.01,-12.13,
8419113,58.67,-11.78,
8419115,59.06,-12.89,
8419117,58.72,-12.54,
8419119,59.3,-11.72,
841911b,58.96,-11.37,
841911d,59.35,-12.48,
8419131,58.8,-14.06,
8419133,58.46,-13.7,
8419137,58.5,-14.46,
8419139,59.1,-13.66,
841913b,58.76,-13.3,
8419151,59.93,-11.65,
8419153,59.59,-11.3,
8419155,59.98,-12.43,
8419157,59.64,-12.07,
841915b,59.88,-10.88,
8419181,57.34,-11.17,
8419183,56.99,-10.84,
8419185,57.39,-11.9,
8419187,57.04,-11.56,
8419189,57.64,-10.76,
841918b,57.29,-10.43,
841918d,57.69,-11.5,
8419191,56.58,-9.79,
8419195,56.64,-10.51,
8419199,56.88,-9.39,
841919b,56.52,-9.08,
841919d,56.94,-10.11,
84191a1,57.13,-13.03,
84191a3,56.79,-12.69,
84191a5,57.17,-13.77,
84191a7,56.83,-13.42,
84191a9,57.44,-12.64,
84191ab,57.09,-12.3,
84191ad,57.48,-13.38,
84191b9,56.69,-11.23,
84191bd,56.74,-11.96,
84191c1,58.28,-10.69,
84191c3,57.93,-10.36,
84191c5,58.33,-11.44,
84191c7,57.98,-11.1,
84191c9,58.57,-10.28,
84191cb,58.22,-9.95,
84191cd,58.62,-11.03,
84191d1,57.52,-9.3,
84191d3,57.17,-8.99,
84191d5,57.58,-10.03,
84191d7,57.23,-9.71,
84191d9,57.81,-8.89,
84191db,57.46,-8.58,
84191dd,57.87,-9.62,
84191e1,58.08,-12.59,
84191e3,57.74,-12.24,
84191e5,58.12,-13.34,
84191e7,57.78,-12.99,
84191e9,58.38,-12.19,
84191eb,58.04,-11.84,
84191ed,58.42,-12.94,
8419211,60.42,-3.81,
8419213,60.07,-3.53,
8419215,60.51,-4.55,
8419217,60.16,-4.26,
8419219,60.67,-3.35,
841921b,60.32,-3.07,
841921d,60.76,-4.1,
8419233,59.99,-5.45,
8419237,60.08,-6.2,
841923b,60.25,-5.01,
8419251,61.26,-3.17,
