zone id, lat, lon, is land (L) or contains some land (l)
00040200,58.68,-4.87,l
00040202,58.49,-4.71,L
00040203,58.67,-4.52,l
00040206,58.5,-5.06,l
00040220,58.27,-4.2,L
00040221,58.46,-4.01,L
00040222,58.07,-4.04,L
00040223,58.26,-3.86,L
00040224,58.29,-4.55,L
00040225,58.47,-4.36,L
00040226,58.09,-4.39,L
00040232,58.64,-3.82,l
00040236,58.65,-4.17,l
00040244,58.53,-6.11,l
00040260,58.12,-5.08,L
00040261,58.3,-4.9,L
00040262,57.92,-4.92,L
00040263,58.1,-4.74,L
00040264,58.13,-5.43,l
00040265,58.31,-5.25,l
00040266,57.93,-5.26,L
00040322,59.35,-2.66,l
00040326,59.36,-3.01,l
00040620,58.36,-6.64,l
00040621,58.54,-6.46,l
00040622,58.16,-6.47,L
00040623,58.35,-6.29,L
00040626,58.17,-6.82,L
00040663,58.18,-7.16,l
00042040,57.03,-2.22,L
00042041,57.21,-2.04,l
00042044,57.05,-2.56,L
00042045,57.23,-2.38,L
00042046,56.85,-2.4,L
00042050,57.58,-2.01,L
00042052,57.38,-1.86,l
00042053,57.56,-1.67,l
00042054,57.61,-2.35,L
00042055,57.78,-2.17,l
00042056,57.41,-2.2,L
00042400,57.3,-3.74,L
00042401,57.48,-3.56,L
00042402,57.1,-3.58,L
00042403,57.28,-3.4,L
00042404,57.32,-4.08,L
00042405,57.5,-3.9,L
00042406,57.12,-3.92,L
00042412,57.66,-3.38,L
00042414,57.88,-3.88,l
00042415,58.06,-3.7,l
00042416,57.68,-3.72,l
00042420,56.89,-3.07,L
00042421,57.07,-2.9,L
00042422,56.69,-2.91,L
00042423,56.87,-2.74,L
00042424,56.91,-3.41,L
00042425,57.09,-3.24,L
00042426,56.71,-3.25,L
00042430,57.45,-2.88,L
00042431,57.62,-2.7,L
00042432,57.25,-2.72,L
00042433,57.43,-2.54,L
00042434,57.46,-3.22,L
00042435,57.64,-3.04,L
00042436,57.27,-3.06,L
00042440,57.15,-4.6,L
00042441,57.33,-4.42,L
00042442,56.95,-4.43,L
00042443,57.13,-4.26,L
00042444,57.16,-4.94,L
00042445,57.34,-4.76,L
00042446,56.97,-4.77,L
00042450,57.71,-4.41,L
00042451,57.89,-4.23,L
00042452,57.51,-4.25,L
00042453,57.69,-4.07,L
00042454,57.72,-4.75,L
00042455,57.91,-4.57,L
00042456,57.53,-4.59,L
00042460,56.74,-3.92,L
00042461,56.92,-3.75,L
00042462,56.54,-3.75,L
00042463,56.72,-3.58,L
00042464,56.76,-4.26,L
00042465,56.94,-4.09,L
00042466,56.56,-4.09,L
00042514,59.15,-2.51,l
00042515,59.33,-2.3,l
00042540,58.42,-3.32,L
00042541,58.6,-3.12,L
00042542,58.22,-3.16,l
00042543,58.4,-2.97,l
00042544,58.44,-3.67,L
00042545,58.62,-3.47,l
00042546,58.24,-3.51,L
00042550,58.98,-3.07,L
00042551,59.17,-2.86,l
00042552,58.78,-2.92,l
00042553,58.97,-2.72,l
00042554,59.0,-3.42,l
00042555,59.18,-3.22,l
00042556,58.8,-3.27,l
00042562,57.8,-2.51,l
00042600,55.92,-2.58,L
00042602,55.73,-2.4,L
00042603,55.9,-2.24,L
00042604,55.94,-2.91,L
00042605,56.12,-2.75,l
00042606,55.75,-2.74,L
00042614,56.49,-2.74,l
00042615,56.67,-2.57,L
00042616,56.3,-2.58,l
00042620,55.51,-1.9,L
00042621,55.69,-1.74,l
00042622,55.32,-1.72,L
00042623,55.49,-1.56,l
00042624,55.53,-2.23,L
00042625,55.71,-2.07,L
00042626,55.34,-2.06,L
00042636,55.88,-1.91,l
00042640,55.78,-3.41,L
00042641,55.96,-3.24,L
00042642,55.59,-3.23,L
00042643,55.76,-3.07,L
00042644,55.8,-3.74,L
00042645,55.97,-3.58,L
00042646,55.6,-3.57,L
00042650,56.33,-3.25,L
00042651,56.51,-3.08,L
00042652,56.14,-3.08,L
00042653,56.31,-2.91,L
00042654,56.35,-3.59,L
00042655,56.53,-3.42,L
00042656,56.15,-3.42,L
00042660,55.37,-2.73,L
00042661,55.55,-2.57,L
00042662,55.18,-2.55,L
00042663,55.36,-2.39,L
00042664,55.39,-3.06,L
00042665,55.57,-2.9,L
00042666,55.2,-2.88,L
00043420,60.8,-1.19,l
00043422,60.6,-1.06,l
00043423,60.78,-0.82,l
00043426,60.62,-1.43,l
00043604,59.84,-1.28,l
00043605,60.02,-1.05,l
00043614,60.4,-0.94,l
00043650,60.24,-1.54,l
00043651,60.42,-1.31,L
00043652,60.04,-1.41,l
00043653,60.22,-1.18,L
00043655,60.44,-1.67,l
00046013,56.65,-6.78,l
00046020,55.71,-6.55,l
00046021,55.89,-6.4,l
00046022,55.52,-6.37,l
00046023,55.7,-6.22,L
00046030,56.27,-6.43,l
00046031,56.45,-6.27,l
00046033,56.26,-6.09,l
00046035,56.46,-6.6,l
00046100,57.39,-6.13,L
00046102,57.2,-5.96,L
00046103,57.38,-5.79,l
00046104,57.4,-6.47,L
00046105,57.59,-6.3,L
00046106,57.21,-6.3,l
00046112,57.76,-5.78,l
00046113,57.95,-5.61,l
00046114,57.97,-6.3,l
00046120,56.99,-5.44,L
00046121,57.17,-5.28,L
00046122,56.8,-5.27,L
00046123,56.98,-5.11,L
00046124,57.0,-5.78,l
00046125,57.19,-5.62,l
00046126,56.81,-5.61,L
00046130,57.55,-5.27,L
00046131,57.74,-5.1,L
00046132,57.36,-5.1,L
00046133,57.54,-4.93,L
00046134,57.57,-5.62,L
00046135,57.75,-5.44,L
00046136,57.37,-5.45,L
00046141,57.41,-6.81,l
00046144,57.23,-7.32,L
00046145,57.42,-7.15,l
00046146,57.04,-7.14,l
00046150,57.79,-6.82,l
00046151,57.98,-6.64,L
00046152,57.6,-6.64,l
00046154,57.8,-7.16,l
00046155,57.98,-6.99,l
00046156,57.6,-6.99,l
00046161,57.01,-6.12,l
00046162,56.64,-6.11,L
00046163,56.82,-5.95,l
00046165,57.02,-6.46,l
00046166,56.64,-6.45,l
00046200,54.76,-5.97,L
00046201,54.94,-5.83,l
00046202,54.57,-5.79,L
00046203,54.75,-5.64,l
00046204,54.77,-6.3,L
00046205,54.95,-6.15,L
00046206,54.58,-6.11,L
00046210,55.32,-5.86,l
00046211,55.5,-5.71,L
00046213,55.31,-5.53,l
00046214,55.33,-6.19,l
00046216,55.13,-6.01,l
00046224,54.39,-5.6,l
00046225,54.56,-5.46,l
00046230,54.92,-5.17,l
00046231,55.1,-5.02,l
00046232,54.73,-4.99,L
00046233,54.91,-4.84,L
00046240,54.6,-6.77,L
00046241,54.78,-6.63,L
00046242,54.41,-6.58,L
00046243,54.59,-6.44,L
00046244,54.6,-7.09,L
00046245,54.79,-6.95,L
00046246,54.42,-6.91,L
00046250,55.15,-6.67,L
00046251,55.33,-6.52,l
00046252,54.96,-6.48,L
00046253,55.14,-6.34,L
00046254,55.16,-6.99,l
00046256,54.97,-6.81,L
00046260,54.21,-6.07,L
00046261,54.39,-5.93,L
00046262,54.03,-5.88,l
00046263,54.21,-5.74,l
00046264,54.22,-6.39,L
00046265,54.4,-6.26,L
00046266,54.03,-6.21,l
00046300,56.03,-4.91,L
00046301,56.21,-4.75,L
00046302,55.84,-4.74,L
00046303,56.02,-4.58,L
00046304,56.04,-5.25,L
00046305,56.23,-5.09,L
00046306,55.85,-5.07,l
00046310,56.59,-4.76,L
00046311,56.77,-4.6,L
00046312,56.39,-4.59,L
00046313,56.58,-4.43,L
00046314,56.6,-5.1,L
00046315,56.78,-4.93,L
00046316,56.41,-4.93,L
00046320,55.63,-4.23,L
00046321,55.81,-4.07,L
00046322,55.44,-4.05,L
00046323,55.62,-3.9,L
00046324,55.64,-4.56,L
00046325,55.82,-4.41,L
00046326,55.45,-4.39,L
00046330,56.18,-4.09,L
00046331,56.36,-3.92,L
00046332,55.99,-3.91,L
00046333,56.17,-3.75,L
00046334,56.2,-4.42,L
00046335,56.38,-4.26,L
00046336,56.0,-4.25,L
00046340,55.87,-5.74,l
00046341,56.05,-5.58,L
00046342,55.68,-5.56,L
00046343,55.86,-5.4,L
00046344,55.88,-6.07,l
00046345,56.07,-5.91,l
00046346,55.69,-5.89,l
00046350,56.43,-5.6,l
00046351,56.61,-5.44,L
00046352,56.24,-5.42,L
00046353,56.42,-5.26,L
00046354,56.44,-5.93,L
00046355,56.62,-5.77,L
00046356,56.25,-5.76,l
00046360,55.48,-5.05,L
00046361,55.66,-4.9,l
00046362,55.28,-4.87,l
00046363,55.46,-4.72,l
00046364,55.49,-5.38,l
00046365,55.67,-5.23,l
00046523,57.05,-7.48,l
00046530,57.62,-7.67,l
00046532,57.42,-7.49,l
00046533,57.61,-7.33,L
00046603,54.8,-7.93,l
00046620,54.43,-7.56,L
00046621,54.61,-7.42,L
00046622,54.24,-7.37,L
00046623,54.42,-7.23,L
00046624,54.43,-7.88,L
00046625,54.61,-7.74,L
00046626,54.24,-7.69,L
00046630,54.98,-7.47,l
00046632,54.79,-7.28,L
00046633,54.98,-7.14,L
00046636,54.8,-7.61,l
00046661,54.43,-8.2,l
00046663,54.25,-8.02,l
00060400,50.93,0.56,L
00060401,51.1,0.69,L
00060403,50.92,0.89,l
00060404,50.94,0.23,L
00060405,51.11,0.36,L
00060406,50.77,0.43,l
00060410,51.43,0.63,L
00060411,51.6,0.77,L
00060412,51.26,0.83,L
00060413,51.42,0.96,l
00060414,51.44,0.3,L
00060415,51.61,0.43,L
00060416,51.27,0.5,L
00060430,51.07,1.36,l
00060431,51.23,1.5,l
00060434,51.08,1.03,L
00060435,51.25,1.16,L
00060440,50.79,-0.23,l
00060441,50.95,-0.1,L
00060443,50.78,0.1,L
00060444,50.8,-0.56,L
00060445,50.96,-0.43,L
00060450,51.29,-0.17,L
00060451,51.46,-0.04,L
00060452,51.12,0.03,L
00060453,51.28,0.16,L
00060454,51.3,-0.5,L
00060455,51.47,-0.37,L
00060456,51.13,-0.3,L
00060500,52.07,1.52,L
00060501,52.23,1.66,l
00060504,52.08,1.18,L
00060505,52.25,1.32,L
00060506,51.91,1.38,l
00060510,52.57,1.6,L
00060511,52.73,1.74,l
00060512,52.39,1.8,l
00060514,52.58,1.26,L
00060515,52.75,1.4,L
00060516,52.41,1.46,L
00060540,51.93,0.7,L
00060541,52.1,0.84,L
00060542,51.76,0.9,l
00060543,51.92,1.04,L
00060544,51.95,0.37,L
00060545,52.11,0.5,L
00060546,51.77,0.57,L
00060550,52.44,0.78,L
00060551,52.6,0.92,L
00060552,52.26,0.98,L
00060553,52.42,1.12,L
00060554,52.45,0.44,L
00060555,52.61,0.58,L
00060556,52.27,0.64,L
00060564,51.58,1.1,l
00060565,51.75,1.24,l
00060566,51.41,1.3,l
00061646,52.91,1.54,l
00064011,50.5,-2.45,l
00064054,50.18,-3.66,l
00064055,50.35,-3.54,l
00064100,51.0,-1.75,L
00064101,51.16,-1.62,L
00064102,50.82,-1.55,L
00064103,50.99,-1.42,L
00064104,51.01,-2.08,L
00064105,51.17,-1.95,L
00064106,50.83,-1.87,L
00064110,51.51,-1.7,L
00064111,51.67,-1.57,L
00064112,51.33,-1.49,L
00064113,51.5,-1.36,L
00064114,51.51,-2.03,L
00064115,51.68,-1.9,L
00064116,51.34,-1.82,L
00064120,50.64,-1.02,l
00064121,50.81,-0.89,L
00064124,50.65,-1.35,L
00064125,50.82,-1.22,l
00064130,51.15,-0.96,L
00064131,51.31,-0.83,L
00064132,50.97,-0.76,L
00064133,51.14,-0.63,L
00064134,51.16,-1.29,L
00064135,51.32,-1.16,L
00064136,50.98,-1.09,L
00064140,50.84,-2.53,L
00064141,51.01,-2.4,L
00064142,50.67,-2.33,L
00064143,50.84,-2.2,L
00064144,50.85,-2.85,L
00064145,51.02,-2.73,L
00064146,50.68,-2.65,L
