"datetime","ercot_electricity_demand"
1514764800,50567
1514768400,50617
1514772000,50694
1514775600,50999
1514779200,51723
1514782800,52955
1514786400,54303
1514790000,55099
1514793600,55553
1514797200,56070
1514800800,55948
1514804400,55277
1514808000,54097
1514811600,52638
1514815200,51448
1514818800,50789
1514822400,51352
1514826000,54212
1514829600,57004
1514833200,57297
1514836800,57246
1514840400,56339
1514844000,54402
1514847600,52550
1514851200,51180
1514854800,50492
1514858400,50220
1514862000,50376
1514865600,51246
1514869200,53359
1514872800,56175
1514876400,57805
1514880000,58347
1514883600,58976
1514887200,59169
1514890800,58728
1514894400,57943
1514898000,57341
1514901600,56978
1514905200,57030
1514908800,57885
1514912400,60183
1514916000,61948
1514919600,61781
1514923200,61125
1514926800,59549
1514930400,56984
1514934000,54990
1514937600,53932
1514941200,53706
1514944800,53907
1514948400,54627
1514952000,55927
1514955600,58500
1514959200,61855
1514962800,62889
1514966400,61351
1514970000,58605
1514973600,55573
1514977200,52365
1514980800,49273
1514984400,46785
1514988000,44595
1514991600,43241
1514995200,43164
1514998800,45729
1515002400,49544
1515006000,50707
1515009600,51398
1515013200,51088
1515016800,49504
1515020400,48096
1515024000,47332
1515027600,47232
1515031200,47503
1515034800,48222
1515038400,49670
1515042000,52341
1515045600,55935
1515049200,57163
1515052800,55477
1515056400,52336
1515060000,49132
1515063600,46374
1515067200,43943
1515070800,42180
1515074400,40805
1515078000,40381
1515081600,41141
1515085200,43647
1515088800,46243
1515092400,46716
1515096000,46692
1515099600,45640
1515103200,43649
1515106800,41823
1515110400,40595
1515114000,40132
1515117600,40102
1515121200,40599
1515124800,41787
1515128400,44265
1515132000,47603
1515135600,49054
1515139200,48216
1515142800,46521
1515146400,44645
1515150000,42542
1515153600,40424
1515157200,38855
1515160800,37613
1515164400,36739
1515168000,36678
1515171600,38305
1515175200,40725
1515178800,41133
1515182400,41346
1515186000,41155
1515189600,40175
1515193200,38883
1515196800,37837
1515200400,37428
1515204000,37414
1515207600,37853
1515211200,38639
1515214800,40016
1515218400,41748
1515222000,43146
1515225600,43483
1515229200,42553
1515232800,40980
1515236400,38977
1515240000,37140
1515243600,35650
1515247200,34549
1515250800,34081
1515254400,34222
1515258000,35722
1515261600,37665
1515265200,37790
1515268800,37489
1515272400,36921
1515276000,35772
1515279600,34314
1515283200,33025
1515286800,32160
1515290400,31691
1515294000,31482
1515297600,31627
1515301200,32268
1515304800,33236
1515308400,34334
1515312000,35387
1515315600,36224
1515319200,36391
1515322800,36165
1515326400,35910
1515330000,35726
1515333600,35382
1515337200,35290
1515340800,35677
1515344400,37006
1515348000,38085
1515351600,37896
1515355200,37102
1515358800,35880
1515362400,33992
1515366000,32063
1515369600,30767
1515373200,30231
1515376800,30174
1515380400,30740
1515384000,32168
1515387600,35067
1515391200,39207
1515394800,41073
1515398400,40585
1515402000,39819
1515405600,39118
1515409200,38234
1515412800,37366
1515416400,36734
1515420000,36117
1515423600,35640
1515427200,35707
1515430800,36933
1515434400,39412
1515438000,39807
1515441600,39607
1515445200,38758
1515448800,36941
1515452400,35287
1515456000,34135
1515459600,33894
1515463200,34182
1515466800,34877
1515470400,36465
1515474000,39634
1515477600,44226
1515481200,45808
1515484800,44682
1515488400,43315
1515492000,42079
1515495600,40714
1515499200,39439
1515502800,38460
1515506400,37721
1515510000,37297
1515513600,37615
1515517200,39207
1515520800,41627
1515524400,41865
1515528000,41482
1515531600,40102
1515535200,37816
1515538800,35567
1515542400,34211
1515546000,33574
1515549600,33419
1515553200,33535
1515556800,34532
1515560400,37032
1515564000,40975
1515567600,42276
1515571200,41570
1515574800,41178
1515578400,40729
1515582000,40071
1515585600,39337
1515589200,38621
1515592800,37897
1515596400,37205
1515600000,36960
1515603600,38072
1515607200,40312
1515610800,40060
1515614400,39387
1515618000,37990
1515621600,35579
1515625200,33211
1515628800,31502
1515632400,30506
1515636000,30016
1515639600,29909
1515643200,30679
1515646800,33065
1515650400,36858
1515654000,38275
1515657600,37841
1515661200,37652
1515664800,37815
1515668400,38016
1515672000,38199
1515675600,38823
1515679200,39418
1515682800,40180
1515686400,41542
1515690000,43339
1515693600,46054
1515697200,46961
1515700800,47472
1515704400,47009
1515708000,45407
1515711600,43902
1515715200,43257
1515718800,43310
1515722400,43803
1515726000,44682
1515729600,46427
1515733200,49762
1515736800,54466
1515740400,56195
1515744000,54892
1515747600,53176
1515751200,51160
1515754800,48873
1515758400,46417
1515762000,44374
1515765600,42437
1515769200,41260
1515772800,41268
1515776400,42932
1515780000,45894
1515783600,46650
1515787200,46973
1515790800,46726
1515794400,45867
1515798000,44759
1515801600,44063
1515805200,43854
1515808800,44119
1515812400,44583
1515816000,45617
1515819600,47187
1515823200,49302
1515826800,51188
1515830400,51634
1515834000,50659
1515837600,48705
1515841200,46242
1515844800,43677
1515848400,41244
1515852000,39376
1515855600,38236
1515859200,38152
1515862800,40019
1515866400,43333
1515870000,44645
1515873600,45337
1515877200,45538
1515880800,44923
1515884400,44142
1515888000,43480
1515891600,43194
1515895200,43316
1515898800,43671
1515902400,44383
1515906000,45601
1515909600,47287
1515913200,48716
1515916800,48857
1515920400,47164
1515924000,44603
1515927600,42014
1515931200,39831
1515934800,37914
1515938400,36468
1515942000,35651
1515945600,35643
1515949200,37332
1515952800,40310
1515956400,41288
1515960000,41797
1515963600,41496
1515967200,40345
1515970800,38985
1515974400,38149
1515978000,37887
1515981600,37934
1515985200,38529
1515988800,39793
1515992400,42134
1515996000,45036
1515999600,46567
1516003200,45854
1516006800,44075
1516010400,42243
1516014000,40567
1516017600,38983
1516021200,38083
1516024800,37608
1516028400,37659
1516032000,38700
1516035600,40980
1516039200,43384
1516042800,44178
1516046400,44361
1516050000,43912
1516053600,42842
1516057200,41805
1516060800,41501
1516064400,41948
1516068000,42904
1516071600,44370
1516075200,46704
1516078800,50203
1516082400,54591
1516086000,57599
1516089600,59101
1516093200,60335
1516096800,60931
1516100400,61128
1516104000,60763
1516107600,59907
1516111200,58805
1516114800,58429
1516118400,58984
1516122000,60851
1516125600,63071
1516129200,63383
1516132800,62784
1516136400,61385
1516140000,59097
1516143600,57373
1516147200,56461
1516150800,56263
1516154400,56489
1516158000,57146
1516161600,58701
1516165200,61281
1516168800,64579
1516172400,65750
1516176000,64628
1516179600,62744
1516183200,60532
1516186800,57953
1516190400,55513
1516194000,53169
1516197600,51137
1516201200,50081
1516204800,50573
1516208400,53417
1516212000,57449
1516215600,58587
1516219200,58725
1516222800,57472
1516226400,55162
1516230000,53263
1516233600,52194
1516237200,51972
1516240800,52154
1516244400,52669
1516248000,53908
1516251600,56558
1516255200,60498
1516258800,61356
1516262400,59652
1516266000,57562
1516269600,55610
1516273200,53459
1516276800,51156
1516280400,49385
1516284000,48261
1516287600,47986
1516291200,48812
1516294800,50770
1516298400,53089
1516302000,53484
1516305600,53362
1516309200,51952
1516312800,49297
1516316400,46951
1516320000,45387
1516323600,44602
1516327200,44351
1516330800,44333
1516334400,45203
1516338000,47556
1516341600,51297
1516345200,52168
1516348800,50861
1516352400,49781
1516356000,48454
1516359600,46648
1516363200,45031
1516366800,43476
1516370400,42126
1516374000,41447
1516377600,41515
1516381200,42446
1516384800,43824
1516388400,43328
1516392000,42579
1516395600,41280
1516399200,39469
1516402800,37357
1516406400,35765
1516410000,34609
1516413600,33874
1516417200,33606
1516420800,33710
1516424400,34548
1516428000,35963
1516431600,37253
1516435200,38026
1516438800,38327
1516442400,37754
1516446000,36753
1516449600,35601
1516453200,34696
1516456800,33976
1516460400,33534
1516464000,33509
1516467600,34074
1516471200,35822
1516474800,35884
1516478400,35303
1516482000,34590
1516485600,33262
1516489200,31667
1516492800,30172
1516496400,29093
1516500000,28380
1516503600,27977
1516507200,27894
1516510800,28241
1516514400,29060
1516518000,30005
1516521600,31210
1516525200,32473
1516528800,33312
1516532400,33921
1516536000,34240
1516539600,34323
1516543200,34126
1516546800,33987
1516550400,34141
1516554000,35251
1516557600,36863
1516561200,37104
1516564800,36456
1516568400,35146
1516572000,33083
1516575600,30981
1516579200,29455
1516582800,28712
1516586400,28548
1516590000,28981
1516593600,30279
1516597200,33123
1516600800,37629
1516604400,39655
1516608000,39082
1516611600,38671
1516615200,38442
1516618800,37940
1516622400,37298
1516626000,36739
1516629600,36116
1516633200,35662
1516636800,35722
1516640400,36845
1516644000,39658
1516647600,40504
1516651200,40526
1516654800,39735
1516658400,37921
1516662000,36198
1516665600,35331
1516669200,35230
1516672800,35576
1516676400,36296
1516680000,38005
1516683600,41529
1516687200,46462
1516690800,48283
1516694400,46687
1516698000,44296
1516701600,42006
1516705200,40003
1516708800,38196
1516712400,36980
1516716000,36059
1516719600,35473
1516723200,35704
1516726800,37001
1516730400,40024
1516734000,41059
1516737600,41372
1516741200,40780
1516744800,39130
1516748400,37500
1516752000,36884
1516755600,36946
1516759200,37269
1516762800,38185
1516766400,39832
1516770000,43196
1516773600,48019
1516777200,49528
1516780800,47491
1516784400,44707
