Year,Month,Average Rate,Standard Deviation
1999,1,0.702153,0.006207
1999,2,0.688126,0.003969
1999,3,0.670952,0.004107
1999,4,0.664610,0.006718
1999,5,0.658015,0.003348
1999,6,0.650532,0.004171
1999,7,0.658252,0.006740
1999,8,0.660341,0.003633
1999,9,0.645967,0.008715
1999,10,0.645748,0.003726
1999,11,0.637252,0.003753
1999,12,0.626923,0.002929
2000,1,0.617715,0.009516
2000,2,0.614490,0.005458
2000,3,0.609670,0.005330
2000,4,0.597763,0.008508
2000,5,0.601032,0.014371
2000,6,0.628559,0.005066
2000,7,0.622275,0.005649
2000,8,0.607161,0.004804
2000,9,0.606425,0.005203
2000,10,0.587827,0.009236
2000,11,0.599924,0.004216
2000,12,0.614100,0.008309
2001,1,0.634795,0.004702
2001,2,0.633663,0.004802
2001,3,0.628895,0.006420
2001,4,0.622250,0.003604
2001,5,0.613045,0.008020
2001,6,0.608376,0.006460
2001,7,0.608976,0.005893
2001,8,0.627317,0.005858
2001,9,0.622868,0.006617
2001,10,0.623743,0.002712
2001,11,0.618214,0.004764
2001,12,0.618360,0.006237
2002,1,0.616186,0.004331
2002,2,0.611579,0.002532
2002,3,0.615800,0.003309
2002,4,0.613959,0.002292
2002,5,0.628177,0.006719
2002,6,0.643830,0.003247
2002,7,0.637036,0.005949
2002,8,0.635818,0.004468
2002,9,0.629890,0.002744
2002,10,0.629970,0.002123
2002,11,0.637070,0.002627
2002,12,0.642638,0.004911
2003,1,0.656414,0.005061
2003,2,0.670268,0.009864
2003,3,0.681595,0.005470
2003,4,0.690024,0.003917
2003,5,0.712548,0.007069
2003,6,0.702419,0.009249
2003,7,0.700459,0.007842
2003,8,0.699386,0.005596
2003,9,0.697414,0.005273
2003,10,0.697139,0.007078
2003,11,0.692737,0.005933
2003,12,0.701995,0.002296
2004,1,0.691235,0.004982
2004,2,0.676168,0.005982
2004,3,0.670835,0.005045
2004,4,0.664710,0.004955
2004,5,0.671595,0.004080
2004,6,0.664062,0.004044
2004,7,0.664981,0.003242
2004,8,0.669768,0.005472
