Year,Month,Average Rate,Standard Deviation
1991,1,258.737273,1.505170
1991,2,256.582632,1.446007
1991,3,250.668500,5.153850
1991,4,239.819091,4.199070
1991,5,238.181364,1.805107
1991,6,230.166000,4.252434
1991,7,227.430000,3.564304
1991,8,230.229545,2.084620
1991,9,231.818500,1.105388
1991,10,224.959130,2.966604
1991,11,230.579000,1.238914
1991,12,233.846667,2.584526
1992,1,226.267727,3.778683
1992,2,226.941053,1.727438
1992,3,229.060000,1.607118
1992,4,234.510476,1.984124
1992,5,236.307500,1.623443
1992,6,235.036364,2.425108
1992,7,241.440455,2.473421
1992,8,245.268571,1.824754
1992,9,226.240476,16.037438
1992,10,200.607273,5.695880
1992,11,189.087000,0.996620
1992,12,192.277727,2.940764
1993,1,191.613500,2.571253
1993,2,173.862632,4.372975
1993,3,171.089130,1.881676
1993,4,173.618571,1.983130
1993,5,170.839500,1.951101
1993,6,161.882273,2.292168
1993,7,160.741429,2.152976
1993,8,154.921364,2.661740
1993,9,160.858571,1.955221
1993,10,160.801429,1.078925
1993,11,159.593333,1.423026
1993,12,163.690909,2.049051
1994,1,166.242381,1.351637
1994,2,157.118421,3.024690
1994,3,156.714783,1.895984
1994,4,153.343158,1.019071
1994,5,155.996190,1.758128
1994,6,156.228636,1.737857
1994,7,152.408000,1.165189
1994,8,154.053913,1.104393
1994,9,154.648571,0.938298
1994,10,158.095714,0.705992
1994,11,155.718095,1.450752
1994,12,156.037619,0.650969
1995,1,156.979524,1.364895
1995,2,154.350526,1.059689
1995,3,144.710870,4.149262
1995,4,134.681579,2.459299
1995,5,135.103636,1.552302
1995,6,134.974545,0.663398
1995,7,139.352500,1.783272
1995,8,148.358261,2.454548
1995,9,156.998500,2.812935
1995,10,159.053636,1.089360
1995,11,159.258571,2.610985
1995,12,156.903500,1.642009
1996,1,161.573636,1.208107
1996,2,162.448000,1.176089
1996,3,161.825714,1.183307
1996,4,162.473810,1.942072
1996,5,161.218636,2.734624
1996,6,167.945500,0.928151
1996,7,169.646818,2.027265
1996,8,167.192273,1.373274
1996,9,171.398000,1.106506
1996,10,178.369565,3.833359
1996,11,186.628500,2.046964
1996,12,189.886190,3.742961
1997,1,195.622273,1.020378
1997,2,199.822105,2.073524
1997,3,197.314000,2.477263
1997,4,204.614091,1.580364
1997,5,194.326190,6.347232
1997,6,188.080476,2.615937
1997,7,192.767727,1.513037
1997,8,189.228571,3.582020
1997,9,193.606667,2.337985
1997,10,197.743913,2.316543
1997,11,211.691053,3.309094
1997,12,215.195455,1.675317
1998,1,211.535000,3.906623
1998,2,206.270000,3.117859
1998,3,214.468182,4.613515
1998,4,220.624762,2.290803
1998,5,220.925500,2.823166
1998,6,231.819091,3.775375
1998,7,231.318636,2.684705
1998,8,236.398571,1.703960
1998,9,226.453810,3.838526
1998,10,204.083636,11.221434
1998,11,200.014000,3.980372
1998,12,195.770000,2.481779
1999,1,186.731053,3.510416
1999,2,189.951579,4.428008
1999,3,193.765652,2.073543
1999,4,192.581905,1.435743
1999,5,196.978500,2.242479
1999,6,192.625909,1.780260
1999,7,187.875714,2.283211
1999,8,181.664091,3.867821
1999,9,173.625714,2.943523
1999,10,175.580476,2.037703
1999,11,169.663810,2.622582
1999,12,165.563636,1.056114
2000,1,172.684000,2.198705
2000,2,175.167000,2.174801
2000,3,168.161739,1.637410
2000,4,167.061579,1.213430
2000,5,163.380909,3.761493
2000,6,160.349545,1.544155
2000,7,163.075000,1.565447
2000,8,160.903478,3.248352
2000,9,153.127500,3.213429
2000,10,157.302273,1.205789
2000,11,155.326190,1.391838
2000,12,164.371000,3.816621
2001,1,172.399048,2.033526
2001,2,168.776316,1.064460
2001,3,175.334545,1.438297
2001,4,177.429500,1.841883
2001,5,173.712273,2.346006
2001,6,171.693810,3.470410
2001,7,176.175238,1.006108
2001,8,174.393913,1.453325
2001,9,173.756316,1.975644
2001,10,176.116957,1.338086
2001,11,175.693810,1.164987
2001,12,183.952000,4.843257
2002,1,190.114762,1.189580
2002,2,190.000000,1.022705
2002,3,186.525000,2.873803
2002,4,188.734545,1.387168
2002,5,184.521364,2.596255
2002,6,183.033000,1.370719
2002,7,183.745455,1.923127
2002,8,182.971818,2.015703
2002,9,188.317000,2.717236
2002,10,193.023913,0.765596
2002,11,191.037000,1.408010
2002,12,193.438095,1.637186
2003,1,192.309048,2.217048
2003,2,191.942105,4.794939
2003,3,187.934762,1.313174
2003,4,188.720952,1.715159
2003,5,190.480952,2.462474
2003,6,196.368095,1.525290
2003,7,192.410455,2.902755
2003,8,188.991905,3.454046
2003,9,185.429524,1.431827
2003,10,183.633478,1.419760
2003,11,184.319474,1.865201
2003,12,188.759545,1.504637
2004,1,194.014500,1.634734
2004,2,199.271579,4.081328
2004,3,198.306957,4.436340
2004,4,194.095714,1.360499
2004,5,200.396500,2.486536
2004,6,200.107619,2.562123
2004,7,201.797619,1.522516
2004,8,200.580000,2.715866
2004,9,197.430952,1.985099
2004,10,196.570952,1.203407
2004,11,194.815714,1.641041
2004,12,200.337273,1.725091
2005,1,194.128500,1.740101
2005,2,198.040526,2.169044
2005,3,200.530455,1.065818
2005,4,203.237143,1.190447
2005,5,197.818095,0.954376
2005,6,197.643636,1.471158
2005,7,196.049500,1.213752
2005,8,198.463478,0.679659
2005,9,200.899048,1.017780
2005,10,202.699524,2.132781
2005,11,205.557143,1.062213
2005,12,206.887619,3.626601
2006,1,204.104500,2.161984
2006,2,206.026842,2.207642
2006,3,204.647826,0.730545
2006,4,206.809474,1.512897
2006,5,208.946818,1.396995
2006,6,211.296364,0.937587
2006,7,213.457500,1.893008
2006,8,219.453043,2.065873
2006,9,220.918000,1.207487
2006,10,222.564545,0.784380
2006,11,224.355238,1.233596
2006,12,230.349000,2.321863
2007,1,236.024000,3.654429
2007,2,236.213158,2.395382
2007,3,228.331364,3.001287
2007,4,236.527000,1.814225
2007,5,239.510909,1.093817
2007,6,243.673810,2.776870
2007,7,246.894286,3.088601
2007,8,234.807826,5.403648
2007,9,232.272105,1.438075
2007,10,236.997826,2.044345
2007,11,229.973810,5.741636
2007,12,226.543500,1.955554
2008,1,212.346190,2.338560
2008,2,210.249000,1.598249
2008,3,201.823000,3.987921
2008,4,203.407273,2.514871
2008,5,205.040952,2.068213
2008,6,210.187143,2.380680
2008,7,212.567727,1.540121
2008,8,206.307619,4.543687
2008,9,191.508571,3.247848
2008,10,169.441739,11.267289
2008,11,148.130000,5.732219
2008,12,135.513182,2.618805
2009,1,130.815000,5.482329
2009,2,133.935263,3.883177
2009,3,138.695455,2.335516
2009,4,145.533333,2.676806
2009,5,149.076500,2.632826
2009,6,158.269091,1.547188
2009,7,154.609545,2.555188
2009,8,156.850476,3.298526
2009,9,148.930000,3.139625
2009,10,146.258182,3.772297
2009,11,148.271000,2.436750
2009,12,145.972273,1.676134
2010,1,147.160000,1.591616
2010,2,140.822632,2.488070
2010,3,136.549565,2.049340
2010,4,143.320952,0.923456
2010,5,134.670000,4.580405
2010,6,133.917727,1.025732
2010,7,133.990952,1.398887
2010,8,133.600000,2.450588
2010,9,131.445714,1.859884
2010,10,129.658095,1.436834
2010,11,131.686667,1.319366
2010,12,129.900000,2.119192
2011,1,130.348500,1.519938
2011,2,133.090526,1.152934
2011,3,131.888261,1.860950
2011,4,136.257000,1.549413
2011,5,132.490476,1.016799
2011,6,130.477273,1.126617
2011,7,127.941500,1.147921
2011,8,126.001739,1.046766
2011,9,121.092381,2.071606
2011,10,120.897619,1.656838
2011,11,122.615714,1.888521
2011,12,121.266190,0.791614
2012,1,119.464000,1.191220
2012,2,124.072000,2.712266
2012,3,130.631818,1.652482
2012,4,130.105000,1.288649
2012,5,126.833182,2.560949
2012,6,123.438095,1.439238
2012,7,123.088095,1.002253
2012,8,123.621739,1.068016
2012,9,125.967895,1.015996
2012,10,126.935652,1.128438
2012,11,129.245238,2.015822
2012,12,135.348000,2.626701
2013,1,142.302857,1.437419
2013,2,143.927895,2.722995
2013,3,143.041500,1.160191
2013,4,149.636364,3.655953
2013,5,154.390909,1.411334
2013,6,150.706000,1.456466
2013,7,151.296818,1.405264
2013,8,151.600455,1.359199
2013,9,157.557500,1.285208
2013,10,157.372609,0.970308
2013,11,160.979000,3.050229
2013,12,169.627619,2.204121
2014,1,170.917143,1.417443
2014,2,169.062105,1.992324
2014,3,170.030952,1.366068
2014,4,171.609048,0.859412
2014,5,171.437619,0.856176
2014,6,172.620952,0.747803
2014,7,173.647273,0.670991
2014,8,171.910952,0.667475
2014,9,175.118571,2.650957
2014,10,173.603913,2.069730
2014,11,183.451579,1.540240
2014,12,186.623636,1.354332
2015,1,179.094500,1.877201
2015,2,182.076316,2.233094
2015,3,180.119091,2.315866
2015,4,178.832857,2.227399
2015,5,186.652400,2.907686
2015,6,192.771045,1.864505
2015,7,191.870304,2.131956
2015,8,191.706571,3.445304
2015,9,184.128091,1.954527
2015,10,184.241000,1.263048
2015,11,186.316667,1.014944
2015,12,182.131739,2.696496
2016,1,170.437571,3.111302
2016,2,164.143524,5.369280
2016,3,160.972783,1.207699
2016,4,156.851667,2.883388
2016,5,158.321545,2.519719
2016,6,149.914227,7.252304
2016,7,136.876143,3.417775
2016,8,132.753304,1.516387
2016,9,133.900682,2.619277
2016,10,128.077905,1.622930
2016,11,135.156727,4.815747
2016,12,144.817682,1.196111
2017,1,141.955000,1.858818
2017,2,141.089700,1.037507
2017,3,139.400174,0.580169
2017,4,139.135250,2.418593
2017,5,145.049174,1.501356
2017,6,142.186364,1.814265
2017,7,146.084571,0.767474
2017,8,142.312565,1.751735
2017,9,147.575905,3.945356
2017,10,149.086409,0.904132
2017,11,149.264409,0.986732
2017,12,151.366381,0.569131
2018,1,153.262043,1.285899
2018,2,150.485277,2.094500
2018,3,148.044739,1.191951
2018,4,151.272963,1.221523
2018,5,147.658971,1.652146
2018,6,146.335143,0.870526
2018,7,146.763023,1.036185
2018,8,142.854568,1.604169
2018,9,145.986244,2.088537
2018,10,146.755711,1.857090
2018,11,146.216158,1.527354
2018,12,142.091938,1.583543
2019,1,140.506396,2.643732
2019,2,143.635421,1.745739
2019,3,146.390954,1.339847
2019,4,145.499773,0.800042
2019,5,141.342289,2.701041
2019,6,136.987920,0.552605
2019,7,134.874412,1.043760
2019,8,129.032078,0.875007
2019,9,132.918416,1.928604
2019,10,136.935637,3.720973
2019,11,140.296600,0.636317
2019,12,143.124931,1.460170
2020,1,142.930600,0.702408
2020,2,142.453236,1.462539
2020,3,132.968546,3.482067
2020,4,133.876862,0.910663
2020,5,131.856677,1.059942
2020,6,134.753304,2.120718
2020,7,135.318900,1.019611
2020,8,139.263835,0.885501
2020,9,136.817296,2.568185
2020,10,136.525341,0.712855
2020,11,137.947360,1.311400
2020,12,139.423837,0.852920
2021,1,141.590050,0.936993
2021,2,146.215146,1.957009
2021,3,150.759122,1.049485
2021,4,150.947588,1.113982
2021,5,153.717885,1.410180
2021,6,154.369088,0.898186
2021,7,152.412585,0.876925
2021,8,151.524538,1.056547
2021,9,151.335985,0.868118
2021,10,154.891500,2.411771
2021,11,153.303273,1.291619
2021,12,151.616296,1.916730
2022,1,155.680350,1.203793
2022,2,156.008300,0.773814
2022,3,156.264563,3.697725
2022,4,163.433815,2.168789
2022,5,160.344281,1.490426
2022,6,165.177096,1.623594
2022,7,163.900496,1.054452
2022,8,162.027707,0.598387
2022,9,162.086769,3.658868
2022,10,166.195342,3.470095
2022,11,166.846623,1.483941
2022,12,164.031537,3.473345
2023,1,159.455973,1.622180
2023,2,160.691192,2.050657
2023,3,162.154330,1.265389
2023,4,166.234688,1.916074
2023,5,171.222081,1.612308
2023,6,178.623567,3.789556
2023,7,181.781513,1.248462
2023,8,183.905355,1.561143
2023,9,183.079717,1.144054
2023,10,182.014187,0.797005
2023,11,186.161287,1.362613
2023,12,181.969087,2.147625
2024,1,185.748310,2.504509
2024,2,188.979948,1.401240
2024,3,190.305439,1.103975
2024,4,192.698477,2.218688
2024,5,196.733590,2.773961
2024,6,200.868827,1.506348
2024,7,202.609845,3.722331
2024,8,189.274965,2.159921
2024,9,189.136623,2.802762
2024,10,195.567252,1.765440
2024,11,195.602310,2.371087
2024,12,194.612597,2.771410
2025,1,193.372145,2.035084
2025,2,190.062118,1.667427
2025,3,192.426784,1.579978
2025,4,189.443483,1.686753
