Year,Month,Average Rate,Standard Deviation
1971,1,2.407000,0.009000
1971,2,2.419444,0.002291
1971,3,2.420000,0.000000
1971,4,2.419091,0.002875
1971,5,2.420000,0.000000
1971,6,2.420000,0.000000
1971,7,2.420000,0.000000
1971,8,2.435294,0.020035
1971,9,2.468571,0.008883
1971,10,2.488947,0.003069
1971,11,2.490000,0.000000
1971,12,2.526818,0.021614
1972,1,2.570000,0.017995
1972,2,2.605500,0.005895
1972,3,2.619565,0.009991
1972,4,2.610500,0.002179
1972,5,2.610455,0.002083
1972,6,2.569091,0.055343
1972,7,2.445500,0.007399
1972,8,2.450000,0.000000
1972,9,2.441500,0.010618
1972,10,2.394500,0.031698
1972,11,2.351500,0.004770
1972,12,2.345000,0.005000
1973,1,2.355455,0.009404
1973,2,2.426667,0.041096
1973,3,2.471818,0.011923
1973,4,2.482857,0.004518
1973,5,2.530909,0.029986
1973,6,2.574762,0.004994
1973,7,2.537143,0.026212
1973,8,2.477391,0.019609
1973,9,2.417368,0.007139
1973,10,2.428571,0.013900
1973,11,2.387000,0.031000
1973,12,2.318000,0.011225
1974,1,2.225000,0.039167
1974,2,2.275000,0.026087
1974,3,2.340952,0.029585
1974,4,2.387727,0.020434
1974,5,2.414091,0.013704
1974,6,2.391000,0.011790
1974,7,2.390000,0.004264
1974,8,2.344545,0.026582
1974,9,2.316500,0.006538
1974,10,2.332727,0.004454
1974,11,2.324444,0.014614
1974,12,2.329524,0.010455
1975,1,2.361364,0.017657
1975,2,2.396111,0.021118
1975,3,2.418571,0.008883
1975,4,2.371364,0.017657
1975,5,2.321429,0.016120
1975,6,2.280476,0.034292
1975,7,2.185455,0.013727
1975,8,2.114762,0.013669
1975,9,2.083333,0.029168
1975,10,2.057727,0.012768
1975,11,2.048824,0.015294
1975,12,2.020455,0.002083
1976,1,2.028095,0.003927
1976,2,2.027222,0.004479
1976,3,1.942174,0.037178
1976,4,1.845909,0.016420
1976,5,1.808000,0.023152
1976,6,1.764091,0.020374
1976,7,1.784762,0.007315
1976,8,1.783182,0.006998
1976,9,1.727619,0.038036
1976,10,1.637500,0.029979
1976,11,1.639474,0.020124
1976,12,1.678261,0.014641
