date,SAP_average,SAP_sd,GBp per thm
2016-03-21,,,172.99
2016-03-28,,,174.75
2016-04-04,,,26.64
2016-04-11,,,26.58
2016-04-18,,,172.95
2016-04-25,,,28.61
2016-05-02,,,29.18
2016-05-09,,,29.02
2016-05-16,,,29.32
2016-05-23,,,31.27
2016-05-30,,,33.06
2016-06-06,,,32.85
2016-06-13,,,34.23
2016-06-20,,,34.59
2016-06-27,,,34.69
2016-07-04,,,34.87
2016-07-11,,,33.24
2016-07-18,,,36.12
2016-07-25,,,36.62
2016-08-01,,,34.11
2016-08-08,,,31.78
2016-08-15,,,28.07
2016-08-22,,,29.57
2016-08-29,,,32.51
2016-09-05,,,30.3
2016-09-12,,,33.47
2016-09-19,,,37.02
2016-09-26,,,41.0
2016-10-03,,,44.81
2016-10-10,,,45.26
2016-10-17,,,46.91
2016-10-24,,,48.05
2016-10-31,,,51.94
2016-11-07,,,50.22
2016-11-14,,,48.85
2016-11-21,,,47.32
2016-11-28,,,46.91
2016-12-05,,,43.4
2016-12-12,,,46.02
2016-12-19,,,48.65
2016-12-26,,,53.63
2017-01-02,,,49.77
2017-01-09,,,55.08
2017-01-16,,,55.56
2017-01-23,,,51.38
2017-01-30,,,59.82
2017-02-06,,,51.79
2017-02-13,,,48.47
2017-02-20,,,45.81
2017-02-27,,,43.29
2017-03-06,,,42.39
2017-03-13,,,41.69
2017-03-20,,,38.87
2017-03-27,,,39.65
2017-04-03,,,39.4
2017-04-10,,,38.51
2017-04-17,,,39.58
2017-04-24,,,38.16
2017-05-01,,,37.37
2017-05-08,,,35.97
2017-05-15,,,36.88
2017-05-22,,,169.14
2017-05-29,,,36.52
2017-06-05,,,36.74
2017-06-12,,,34.47
2017-06-19,,,35.6
2017-06-26,,,36.2
2017-07-03,,,36.17
2017-07-10,,,33.72
2017-07-17,,,36.76
2017-07-24,,,38.56
2017-07-31,,,39.92
2017-08-07,,,43.1
2017-08-14,,,43.59
2017-08-21,,,44.45
2017-08-28,,,172.72
2017-09-04,,,45.25
2017-09-11,,,44.99
2017-09-18,,,43.75
2017-09-25,,,47.32
2017-10-02,,,50.02
2017-10-09,,,49.19
2017-10-16,,,48.91
2017-10-23,,,47.85
