Date,SAP actual day
2018-01-01,1.708
2018-01-02,1.733
2018-01-03,1.766
2018-01-04,1.772
2018-01-05,1.760
2018-01-06,1.719
2018-01-07,1.817
2018-01-08,1.799
2018-01-09,1.773
2018-01-10,1.786
2018-01-11,1.833
2018-01-12,1.778
2018-01-13,1.780
2018-01-14,1.777
2018-01-15,1.733
2018-01-16,1.730
2018-01-17,1.718
2018-01-18,1.703
2018-01-19,1.716
2018-01-20,1.720
2018-01-21,1.700
2018-01-22,1.685
2018-01-23,1.653
2018-01-24,1.624
2018-01-25,1.653
2018-01-26,1.615
2018-01-27,1.622
2018-01-28,1.555
2018-01-29,1.589
2018-01-30,1.630
2018-01-31,1.612
2018-02-01,1.695
2018-02-02,1.764
2018-02-03,1.662
2018-02-04,1.680
2018-02-05,1.693
2018-02-06,1.710
2018-02-07,1.767
2018-02-08,1.744
2018-02-09,1.728
2018-02-10,1.743
2018-02-11,1.712
2018-02-12,1.725
2018-02-13,1.797
2018-02-14,1.727
2018-02-15,1.648
2018-02-16,1.731
2018-02-17,1.712
2018-02-18,1.707
2018-02-19,1.888
2018-02-20,1.877
2018-02-21,1.941
2018-02-22,2.074
2018-02-23,2.078
2018-02-24,1.870
2018-02-25,1.895
2018-02-26,2.417
2018-02-27,3.649
2018-02-28,5.754
2018-03-01,12.716
2018-03-02,8.694
2018-03-03,2.239
2018-03-04,1.991
2018-03-05,1.744
2018-03-06,1.765
2018-03-07,1.721
2018-03-08,1.790
2018-03-09,1.898
2018-03-10,1.862
2018-03-11,1.847
2018-03-12,2.505
2018-03-13,2.330
2018-03-14,2.080
2018-03-15,2.256
2018-03-16,1.874
2018-03-17,1.888
2018-03-18,2.200
2018-03-19,1.970
2018-03-20,1.909
2018-03-21,1.863
2018-03-22,1.855
2018-03-23,1.755
2018-03-24,1.791
2018-03-25,1.688
2018-03-26,1.636
2018-03-27,1.715
2018-03-28,1.661
2018-03-29,1.765
2018-03-30,1.662
2018-03-31,1.674
2018-04-01,1.811
2018-04-02,1.796
2018-04-03,1.638
2018-04-04,1.679
2018-04-05,1.688
2018-04-06,1.663
2018-04-07,1.706
2018-04-08,1.688
2018-04-09,1.772
2018-04-10,1.834
2018-04-11,1.860
2018-04-12,1.914
2018-04-13,1.875
2018-04-14,1.685
2018-04-15,1.722
2018-04-16,1.713
2018-04-17,1.728
2018-04-18,1.657
2018-04-19,1.763
2018-04-20,1.739
2018-04-21,1.677
2018-04-22,1.673
2018-04-23,1.718
2018-04-24,1.744
2018-04-25,1.730
2018-04-26,1.778
2018-04-27,1.840
2018-04-28,1.849
2018-04-29,1.844
2018-04-30,1.845
2018-05-01,1.811
2018-05-02,1.823
2018-05-03,1.801
2018-05-04,1.829
2018-05-05,1.807
2018-05-06,1.795
2018-05-07,1.815
2018-05-08,1.829
2018-05-09,1.782
2018-05-10,1.823
2018-05-11,1.876
2018-05-12,1.895
2018-05-13,1.861
2018-05-14,1.931
2018-05-15,1.861
2018-05-16,1.894
2018-05-17,1.976
2018-05-18,1.947
2018-05-19,1.927
2018-05-20,1.887
2018-05-21,1.928
2018-05-22,2.007
2018-05-23,1.986
2018-05-24,2.019
2018-05-25,1.909
2018-05-26,1.862
2018-05-27,1.886
2018-05-28,1.915
2018-05-29,2.016
2018-05-30,2.116
2018-05-31,2.035
2018-06-01,1.965
2018-06-02,1.985
2018-06-03,1.992
2018-06-04,2.029
2018-06-05,1.959
2018-06-06,1.948
2018-06-07,2.020
2018-06-08,2.005
2018-06-09,1.957
2018-06-10,1.914
2018-06-11,1.868
2018-06-12,1.860
2018-06-13,1.992
2018-06-14,1.927
2018-06-15,1.880
2018-06-16,1.857
2018-06-17,1.865
2018-06-18,1.873
2018-06-19,1.835
2018-06-20,1.833
2018-06-21,1.758
2018-06-22,1.800
2018-06-23,1.824
2018-06-24,1.802
2018-06-25,1.808
2018-06-26,1.834
2018-06-27,1.890
2018-06-28,1.867
2018-06-29,1.785
2018-06-30,1.808
2018-07-01,1.808
2018-07-02,1.911
2018-07-03,1.904
2018-07-04,1.937
2018-07-05,1.986
2018-07-06,1.961
2018-07-07,1.975
2018-07-08,1.982
2018-07-09,2.023
2018-07-10,1.985
2018-07-11,1.973
2018-07-12,1.934
2018-07-13,2.002
2018-07-14,1.964
2018-07-15,1.963
2018-07-16,1.902
2018-07-17,1.960
2018-07-18,1.999
2018-07-19,1.983
2018-07-20,1.972
2018-07-21,1.944
2018-07-22,1.964
2018-07-23,2.004
2018-07-24,2.009
2018-07-25,1.971
2018-07-26,1.960
2018-07-27,1.970
2018-07-28,1.965
2018-07-29,1.964
2018-07-30,2.016
2018-07-31,2.000
2018-08-01,1.967
2018-08-02,2.016
2018-08-03,2.005
2018-08-04,1.965
2018-08-05,1.964
2018-08-06,2.004
2018-08-07,2.007
2018-08-08,2.014
2018-08-09,1.984
2018-08-10,2.005
2018-08-11,2.024
2018-08-12,2.035
2018-08-13,2.107
2018-08-14,2.047
2018-08-15,2.008
2018-08-16,2.093
2018-08-17,2.128
2018-08-18,2.084
2018-08-19,2.049
2018-08-20,2.142
2018-08-21,2.181
2018-08-22,2.200
2018-08-23,2.223
2018-08-24,2.244
2018-08-25,2.275
2018-08-26,2.234
2018-08-27,2.273
2018-08-28,2.341
2018-08-29,2.401
2018-08-30,2.377
2018-08-31,2.291
2018-09-01,2.317
2018-09-02,2.314
2018-09-03,2.418
2018-09-04,2.418
2018-09-05,2.454
2018-09-06,2.541
2018-09-07,2.559
2018-09-08,2.567
2018-09-09,2.493
2018-09-10,2.625
2018-09-11,2.581
2018-09-12,2.519
2018-09-13,2.408
2018-09-14,2.407
2018-09-15,2.432
2018-09-16,2.398
2018-09-17,2.469
2018-09-18,2.406
2018-09-19,2.537
2018-09-20,2.599
2018-09-21,2.650
2018-09-22,2.644
2018-09-23,2.604
2018-09-24,2.681
2018-09-25,2.637
2018-09-26,2.554
2018-09-27,2.481
2018-09-28,2.496
2018-09-29,2.485
2018-09-30,2.461
2018-10-01,2.433
2018-10-02,2.452
2018-10-03,2.428
2018-10-04,2.456
2018-10-05,2.493
2018-10-06,2.449
2018-10-07,2.441
2018-10-08,2.361
2018-10-09,2.231
2018-10-10,2.204
2018-10-11,2.138
2018-10-12,2.262
2018-10-13,2.263
2018-10-14,2.311
2018-10-15,2.356
2018-10-16,2.287
2018-10-17,2.157
2018-10-18,2.212
2018-10-19,2.316
2018-10-20,2.257
2018-10-21,2.070
2018-10-22,2.137
2018-10-23,2.086
2018-10-24,2.137
2018-10-25,2.215
2018-10-26,2.119
2018-10-27,2.097
2018-10-28,2.212
2018-10-29,2.228
2018-10-30,2.241
2018-10-31,2.145
2018-11-01,2.098
2018-11-02,2.105
2018-11-03,2.091
2018-11-04,2.101
2018-11-05,2.080
2018-11-06,2.072
2018-11-07,2.153
2018-11-08,2.174
2018-11-09,2.117
2018-11-10,2.094
2018-11-11,2.112
2018-11-12,2.195
2018-11-13,2.267
2018-11-14,2.318
2018-11-15,2.412
2018-11-16,2.389
2018-11-17,2.225
2018-11-18,2.306
2018-11-19,2.241
2018-11-20,2.201
2018-11-21,2.254
2018-11-22,2.269
2018-11-23,2.227
2018-11-24,2.231
2018-11-25,2.225
2018-11-26,2.181
2018-11-27,2.246
2018-11-28,2.160
2018-11-29,2.145
2018-11-30,2.156
2018-12-01,2.235
2018-12-02,2.161
2018-12-03,2.249
2018-12-04,2.250
2018-12-05,2.211
2018-12-06,2.042
2018-12-07,1.999
2018-12-08,2.029
2018-12-09,2.087
2018-12-10,2.171
2018-12-11,2.156
2018-12-12,2.204
2018-12-13,2.248
2018-12-14,2.274
2018-12-15,2.279
2018-12-16,2.262
2018-12-17,2.256
2018-12-18,2.173
2018-12-19,2.319
2018-12-20,2.277
2018-12-21,2.259
2018-12-22,2.263
2018-12-23,2.311
2018-12-24,2.274
2018-12-25,2.226
2018-12-26,2.185
2018-12-27,2.103
2018-12-28,2.047
2018-12-29,1.987
2018-12-30,1.986
2018-12-31,1.664
2019-01-01,1.712
2019-01-02,2.047
2019-01-03,2.039
2019-01-04,2.061
2019-01-05,2.034
2019-01-06,1.973
2019-01-07,1.899
2019-01-08,1.977
2019-01-09,1.994
2019-01-10,2.006
2019-01-11,2.033
2019-01-12,1.995
2019-01-13,1.980
2019-01-14,1.949
2019-01-15,2.032
2019-01-16,1.996
2019-01-17,2.073
2019-01-18,2.045
2019-01-19,2.066
2019-01-20,2.047
2019-01-21,1.991
2019-01-22,2.039
2019-01-23,2.063
2019-01-24,1.976
2019-01-25,1.840
2019-01-26,1.823
2019-01-27,1.884
2019-01-28,1.912
2019-01-29,1.876
2019-01-30,1.851
2019-01-31,1.849
2019-02-01,1.726
2019-02-02,1.732
2019-02-03,1.731
2019-02-04,1.737
2019-02-05,1.736
2019-02-06,1.725
2019-02-07,1.727
2019-02-08,1.682
2019-02-09,1.690
2019-02-10,1.674
2019-02-11,1.625
2019-02-12,1.585
2019-02-13,1.606
2019-02-14,1.623
2019-02-15,1.603
2019-02-16,1.597
2019-02-17,1.596
2019-02-18,1.567
2019-02-19,1.565
2019-02-20,1.582
2019-02-21,1.519
2019-02-22,1.535
2019-02-23,1.540
2019-02-24,1.511
2019-02-25,1.478
2019-02-26,1.497
2019-02-27,1.526
2019-02-28,1.548
2019-03-01,1.513
2019-03-02,1.488
2019-03-03,1.510
2019-03-04,1.504
2019-03-05,1.501
2019-03-06,1.448
2019-03-07,1.470
2019-03-08,1.487
2019-03-09,1.478
2019-03-10,1.483
2019-03-11,1.442
2019-03-12,1.423
2019-03-13,1.368
2019-03-14,1.344
2019-03-15,1.272
2019-03-16,1.299
2019-03-17,1.308
2019-03-18,1.371
2019-03-19,1.279
2019-03-20,1.294
2019-03-21,1.287
2019-03-22,1.272
2019-03-23,1.222
2019-03-24,1.203
2019-03-25,1.192
2019-03-26,1.240
2019-03-27,1.293
2019-03-28,1.218
2019-03-29,1.169
2019-03-30,1.179
2019-03-31,1.175
2019-04-01,1.126
2019-04-02,1.089
2019-04-03,1.150
2019-04-04,1.255
2019-04-05,1.347
2019-04-06,1.392
2019-04-07,1.390
2019-04-08,1.330
2019-04-09,1.467
2019-04-10,1.383
2019-04-11,1.371
2019-04-12,1.419
2019-04-13,1.306
