date,GBp per thm
2016-03-21,172.99
2016-03-28,174.75
2016-04-04,26.640
2016-04-11,26.580
2016-04-18,172.95
2016-04-25,28.610
2016-05-02,29.180
2016-05-09,29.020
2016-05-16,29.320
2016-05-23,31.270
2016-05-30,33.060
2016-06-06,32.850
2016-06-13,34.230
2016-06-20,34.590
2016-06-27,34.690
2016-07-04,34.870
2016-07-11,33.240
2016-07-18,36.120
2016-07-25,36.620
2016-08-01,34.110
2016-08-08,31.780
2016-08-15,28.070
2016-08-22,29.570
2016-08-29,32.510
2016-09-05,30.300
2016-09-12,33.470
2016-09-19,37.020
2016-09-26,41.000
2016-10-03,44.810
2016-10-10,45.260
2016-10-17,46.910
2016-10-24,48.050
2016-10-31,51.940
2016-11-07,50.220
2016-11-14,48.850
2016-11-21,47.320
2016-11-28,46.910
2016-12-05,43.400
2016-12-12,46.020
2016-12-19,48.650
2016-12-26,53.630
2017-01-02,49.770
2017-01-09,55.080
2017-01-16,55.560
2017-01-23,51.380
2017-01-30,59.820
2017-02-06,51.790
2017-02-13,48.470
2017-02-20,45.810
2017-02-27,43.290
2017-03-06,42.390
2017-03-13,41.690
2017-03-20,38.870
2017-03-27,39.650
2017-04-03,39.400
2017-04-10,38.510
2017-04-17,39.580
2017-04-24,38.160
2017-05-01,37.370
2017-05-08,35.970
2017-05-15,36.880
2017-05-22,169.14
2017-05-29,36.520
2017-06-05,36.740
2017-06-12,34.470
2017-06-19,35.600
2017-06-26,36.200
2017-07-03,36.170
2017-07-10,33.720
2017-07-17,36.760
2017-07-24,38.560
2017-07-31,39.920
2017-08-07,43.100
2017-08-14,43.590
2017-08-21,44.450
2017-08-28,172.72
2017-09-04,45.250
2017-09-11,44.990
2017-09-18,43.750
2017-09-25,47.320
2017-10-02,50.020
2017-10-09,49.190
2017-10-16,48.910
2017-10-23,47.850
2017-10-30,50.890
2017-11-06,54.830
2017-11-13,52.270
2017-11-20,57.720
2017-11-27,58.420
2017-12-04,58.100
2017-12-11,61.370
2017-12-18,56.850
2017-12-25,56.430
2018-01-01,52.910
2018-01-08,55.970
2018-01-15,50.130
2018-01-22,49.140
2018-01-29,50.030
2018-02-05,50.180
2018-02-12,51.220
2018-02-19,57.700
