date,average 300l,average 500l,average 900l
2026-03-12,377.16,596.19,1037.48
2026-03-05,347.19,555.59,948.41
2026-02-26,202.12,307.38,536.72
2026-02-19,191.60,294.42,516.47
2026-02-12,190.85,293.41,514.68
2026-02-05,191.01,293.03,513.92
2026-01-29,187.38,289.49,508.14
2026-01-22,188.69,290.21,511.42
2026-01-15,192.13,294.67,517.54
2026-01-08,193.54,296.64,519.63
2025-12-31,189.39,290.88,510.75
2025-12-23,190.86,292.92,513.85
2025-12-18,187.14,287.90,506.03
2025-12-11,191.85,295.99,519.43
2025-12-04,195.01,299.59,524.79
2025-11-27,202.27,310.89,540.35
2025-11-20,199.96,309.64,538.13
2025-11-13,190.18,294.79,516.56
2025-11-06,184.33,287.14,501.42
2025-10-30,180.37,281.45,492.92
2025-10-23,165.72,262.02,460.91
2025-10-16,169.80,267.85,470.77
2025-10-09,171.55,271.17,474.68
2025-10-02,174.51,274.56,479.87
2025-09-25,171.31,269.32,471.88
2025-09-18,171.56,270.12,472.65
2025-09-11,171.09,270.25,472.27
2025-09-04,169.35,268.47,469.90
2025-08-28,165.43,262.69,458.77
2025-08-21,166.52,263.62,460.11
2025-08-14,172.21,270.23,473.05
2025-08-07,174.86,274.26,480.87
2025-07-31,177.39,277.05,486.17
2025-07-24,178.16,277.93,487.45
2025-07-17,177.52,277.05,485.93
2025-07-10,178.72,278.57,488.97
2025-07-03,183.49,285.64,502.69
2025-06-26,201.07,315.15,551.75
2025-06-19,188.13,292.76,510.56
2025-06-12,159.25,248.92,440.36
2025-06-05,159.65,249.43,441.18
2025-05-29,160.83,250.99,443.62
2025-05-22,162.73,254.00,448.48
2025-05-15,162.53,253.66,448.48
2025-05-08,163.62,255.65,452.66
2025-05-01,165.93,258.78,457.47
2025-04-24,165.14,258.25,456.60
2025-04-17,164.90,257.87,456.23
2025-04-10,172.15,269.72,476.68
2025-04-03,179.05,280.96,495.77
2025-03-27,177.78,278.49,492.40
2025-03-20,179.46,280.39,494.07
2025-03-13,181.80,283.84,500.36
2025-03-06,189.88,296.30,523.50
2025-02-27,194.37,301.61,532.48
2025-02-20,197.38,306.65,539.57
2025-02-13,198.55,307.02,542.01
2025-02-06,199.53,308.44,542.73
2025-01-30,203.37,315.27,551.62
2025-01-23,205.76,317.58,554.81
2025-01-16,208.07,319.91,555.97
2025-01-09,195.11,301.29,524.78
2025-01-02,185.51,286.30,501.74
2024-12-23,186.59,287.85,504.35
2024-12-19,186.91,288.76,505.51
2024-12-12,186.09,287.20,502.60
2024-12-05,188.06,291.15,508.54
2024-11-28,190.31,294.16,512.59
2024-11-21,186.33,288.27,503.87
2024-11-14,178.66,278.02,487.13
2024-11-07,178.50,279.28,489.00
2024-10-31,177.25,277.54,487.33
2024-10-24,183.06,284.89,497.97
2024-10-17,195.14,302.89,532.81
2024-10-10,199.01,309.97,542.46
2024-10-03,183.42,289.33,509.08
2024-09-26,182.48,286.83,506.16
2024-09-19,188.22,295.60,520.25
2024-09-12,188.80,295.07,518.88
2024-09-05,189.21,295.88,520.34
2024-08-29,188.86,295.87,520.96
2024-08-22,186.91,294.60,520.70
2024-08-15,188.87,297.39,525.49
2024-08-08,190.61,299.67,529.52
2024-08-01,194.66,306.95,541.72
2024-07-25,197.68,311.26,547.62
2024-07-18,202.31,318.24,559.58
2024-07-11,202.93,319.59,560.89
2024-07-04,202.46,319.18,560.51
2024-06-27,199.81,315.76,554.59
2024-06-20,196.01,309.41,544.25
2024-06-13,188.03,298.52,527.75
2024-06-06,188.70,299.46,529.30
2024-05-30,194.53,308.22,545.46
2024-05-23,195.53,310.61,550.52
2024-05-16,199.10,317.40,562.38
2024-05-09,201.24,321.03,568.95
2024-05-02,205.26,327.34,580.73
2024-04-25,210.04,333.03,590.05
2024-04-18,213.97,338.73,597.50
2024-04-11,213.99,339.53,598.07
2024-04-04,211.71,335.56,592.05
2024-03-28,209.64,331.98,587.58
2024-03-21,209.33,331.24,587.27
2024-03-14,208.55,329.40,585.75
2024-03-07,212.78,336.61,597.24
2024-02-29,214.49,340.44,603.31
2024-02-22,220.52,349.02,618.18
2024-02-15,229.35,360.37,633.81
2024-02-08,224.95,354.26,625.42
2024-02-01,231.59,363.70,641.87
2024-01-25,235.09,369.77,650.37
2024-01-18,238.38,373.59,654.27
2024-01-11,226.32,354.84,631.55
2024-01-04,225.73,354.45,630.79
2023-12-28,237.11,371.13,657.16
2023-12-21,237.80,370.37,655.87
2023-12-14,236.56,368.94,652.31
2023-12-07,234.97,367.90,651.52
2023-11-30,221.79,350.79,623.48
2023-11-23,224.53,354.80,630.36
2023-11-16,228.59,359.97,637.32
2023-11-09,234.92,369.82,657.54
2023-11-02,238.58,375.07,666.80
2023-10-26,244.42,384.23,681.27
2023-10-19,248.49,390.38,689.11
2023-10-12,239.56,381.69,670.76
2023-10-05,251.94,399.29,704.38
2023-09-28,253.47,401.06,706.34
2023-09-21,249.83,394.83,697.09
2023-09-14,238.96,377.63,665.80
2023-09-07,231.84,366.46,646.02
2023-08-31,233.52,367.88,647.72
2023-08-24,225.40,356.97,629.85
2023-08-17,226.88,357.96,631.63
2023-08-10,225.73,354.68,622.73
2023-08-03,224.44,351.61,614.84
2023-07-27,203.66,317.30,553.39
2023-07-20,189.63,294.80,516.45
2023-07-11,188.04,292.59,513.06
2023-07-06,182.96,284.41,501.52
2023-06-29,180.90,281.54,497.94
2023-06-22,180.50,280.96,497.06
2023-06-15,180.38,281.54,497.29
2023-06-08,179.69,279.36,495.03
2023-06-01,181.09,279.96,497.61
2023-05-25,181.95,281.17,499.76
2023-05-18,182.20,281.78,500.16
2023-04-27,197.90,307.32,542.80
2023-04-20,207.42,325.53,574.23
2023-04-13,212.86,332.99,585.01
2023-04-06,213.22,333.75,585.21
2023-03-30,206.98,323.35,574.61
2023-03-23,216.09,339.98,598.57
2023-03-16,234.23,367.40,650.05
2023-03-09,239.77,375.76,661.08
2023-03-02,231.64,364.07,644.34
2023-02-23,237.05,373.27,658.82
2023-02-16,253.17,402.33,714.27
2023-02-09,264.53,420.49,745.86
2023-02-02,280.56,443.79,782.69
2023-01-26,286.74,454.35,799.30
2023-01-19,273.56,433.04,762.57
2023-01-12,269.14,425.82,752.50
2023-01-05,286.43,458.57,805.21
2022-12-29,300.50,479.68,841.17
2022-12-22,315.91,500.71,878.19
2022-12-15,303.22,484.53,847.26
2022-12-08,271.28,433.81,766.16
2022-12-01,260.10,418.85,743.79
2022-11-24,267.07,431.80,765.48
2022-11-17,273.95,442.40,784.40
2022-11-10,285.92,459.58,813.88
2022-11-03,272.09,439.60,780.17
2022-10-27,288.42,466.05,826.89
2022-10-20,310.13,502.16,888.20
2022-10-13,325.14,523.52,923.34
2022-10-06,308.98,495.04,873.31
2022-09-29,303.83,489.09,864.41
2022-09-22,309.37,496.28,876.49
2022-09-15,328.52,526.96,929.46
2022-09-08,338.53,540.97,954.05
2022-09-01,329.72,527.60,928.98
2022-08-25,298.39,476.21,835.60
2022-08-18,264.34,421.84,740.87
2022-08-11,258.54,412.51,727.86
2022-08-04,268.77,429.98,760.16
2022-07-28,274.80,436.97,773.48
2022-07-21,289.97,457.67,814.67
2022-07-14,297.74,471.15,839.60
2022-07-07,308.94,494.30,873.76
2022-06-30,325.98,523.09,926.17
2022-06-23,328.97,524.44,931.84
2022-06-16,325.05,521.92,923.76
2022-06-08,309.24,492.05,869.90
2022-06-01,297.83,474.44,838.69
2022-05-26,284.12,453.06,799.39
2022-05-19,299.76,479.73,846.58
2022-05-12,305.10,490.78,864.44
2022-05-05,308.51,490.90,864.96
2022-04-28,273.21,433.84,761.64
2022-04-21,261.67,420.28,738.86
2022-04-14,257.29,415.69,730.10
2022-04-07,261.69,422.24,740.50
2022-03-31,269.70,435.83,761.94
2022-03-24,285.54,461.71,806.44
2022-03-17,317.28,513.53,899.58
2022-03-10,409.36,662.86,1181.53
2022-03-03,275.92,435.79,758.11
2022-02-24,206.14,320.10,555.72
2022-02-17,204.38,317.11,551.12
2022-02-10,203.41,314.51,546.62
2022-02-03,197.32,304.32,527.97
2022-01-27,191.37,295.66,511.18
2022-01-20,189.81,292.23,506.01
2022-01-13,180.95,277.03,479.56
2022-01-06,173.69,264.83,459.34
2021-12-30,171.35,260.88,454.76
2021-12-23,171.93,262.54,456.91
2021-12-17,170.14,260.44,453.72
2021-12-09,168.28,257.26,449.14
2021-12-02,169.78,258.18,451.98
2021-11-25,171.59,262.31,456.80
2021-11-17,175.25,267.40,464.96
2021-11-17,175.25,267.40,509.86
2021-11-11,176.44,269.41,467.46
2021-11-04,176.07,268.05,465.96
2021-10-28,177.28,271.55,470.42
2021-10-21,177.98,271.99,469.93
2021-10-14,178.65,274.17,472.27
2021-10-07,177.06,272.97,472.79
2021-09-30,163.56,250.10,432.22
2021-09-23,152.18,231.08,399.58
2021-09-16,147.23,222.38,384.47
2021-09-09,145.85,243.55,381.20
2021-09-01,143.06,217.28,374.18
2021-08-26,143.24,216.07,369.88
2021-08-19,143.55,217.69,375.13
2021-08-12,144.54,218.80,378.27
2021-08-05,145.69,220.55,379.75
2021-07-28,144.68,220.25,377.18
2021-07-22,145.08,219.32,377.06
2021-07-15,144.14,218.63,375.52
2021-07-08,144.90,218.67,376.97
2021-07-01,143.32,217.87,372.58
2021-06-24,140.65,211.93,360.41
2021-06-17,144.87,183.21,359.99
2021-06-10,135.96,204.34,350.58
2021-06-03,134.20,200.62,344.48
2021-05-27,135.99,202.92,347.14
2021-05-20,135.96,203.51,349.80
2021-05-13,136.46,201.38,346.37
2021-05-06,133.53,201.96,347.12
2021-04-26,130.82,192.11,329.86
2021-03-31,130.82,192.11,329.86
