Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,lon,lat,area (sqm)
1018,Operational,1.0,2011-07-11,0.069,53.423,18456
1019,Operational,4.7,2011-07-25,-4.836,50.337,81900
1020,Operational,4.7,2011-07-25,-5.368,50.218,106000
1021,Operational,4.4,2011-07-22,-4.282,50.442,114000
1022,Operational,5.0,2011-07-25,-4.427,50.87,98500
1023,Operational,1.7,2011-09-20,-5.069,50.395,31573
1024,Operational,5.0,2012-06-01,-4.486,50.924,93411
1025,Revised,5.0,,-4.38,50.72,90000
1028,Operational,2.9,2011-07-25,-5.082,50.304,54060
1029,Operational,5.0,2011-10-31,1.399,52.805,120000
1032,Operational,1.4,2011-07-06,-5.123,50.238,25952
1034,Operational,5.0,2013-02-28,0.067,52.172,170000
1035,Operational,2.0,2011-07-28,-4.783,50.54,60000
1038,Revised,5.0,,-0.026,52.53,167400
1039,Operational,5.0,2011-07-15,-4.009,50.389,93411
1040,Operational,4.6,2011-07-13,-0.815,53.028,146000
1041,Operational,4.9,2011-09-05,1.346,51.316,119700
1042,Operational,1.3,2012-09-01,-0.956,51.845,31600
1046,Operational,2.0,2011-09-01,-2.966,51.123,37195
1047,Operational,4.6,2011-10-01,-2.968,51.176,129700
1048,Operational,4.6,2011-07-25,-1.575,52.877,85915
1049,Operational,1.7,2011-07-14,0.135,52.79,31573
1050,Operational,1.0,2011-07-14,0.136,52.79,26000
1052,Revised,5.0,,-3.854,51.019,93411
1053,Operational,5.0,2013-02-01,-1.802,52.019,93411
1054,Operational,5.0,2011-07-19,-1.644,51.619,93411
1055,Operational,1.0,2011-07-09,-4.621,52.035,18456
1056,Operational,3.9,2011-07-01,-2.916,51.723,130500
1058,Operational,5.0,2013-03-28,-1.005,52.102,141000
1059,Operational,1.0,2013-03-30,-5.111,50.383,18456
1060,Operational,7.0,2013-03-08,-2.174,50.711,181000
1062,Operational,6.3,2013-03-21,0.218,52.315,164000
1063,Revised,3.1,,-3.395,50.899,94000
1064,Operational,5.8,2013-03-15,-4.758,50.407,108402
1065,Operational,1.1,2013-03-30,-4.958,50.373,20330
1067,Operational,3.0,2013-03-31,-4.428,50.452,55934
1070,Operational,4.0,2011-07-01,-2.923,50.79,126000
1073,Revised,49.0,,-1.197,50.831,917912
1074,Revised,11.4,,-4.362,50.424,238000
1076,Operational,5.0,2011-09-29,-2.673,51.105,128000
1078,Operational,1.7,2011-07-21,1.596,52.438,31573
1079,Operational,5.0,2011-07-25,-2.109,51.624,141600
1080,Operational,5.0,2011-07-07,-4.956,50.367,146000
1081,Operational,1.0,2011-06-24,-2.831,50.885,18456
1082,Operational,4.5,2011-07-01,-1.366,50.71,84042
1084,Operational,2.0,2011-07-26,-0.545,51.119,37195
1085,Operational,1.2,2013-03-31,0.038,52.451,22204
1086,Operational,5.3,2013-03-20,-1.458,50.894,99033
1088,Operational,5.3,2013-03-20,-5.194,50.142,130000
1089,Operational,5.0,2013-03-30,-3.037,51.112,156000
1090,Operational,5.0,2013-03-30,-2.506,50.643,93411
1091,Operational,7.0,2013-03-28,-1.607,51.42,189000
1094,Operational,6.7,2013-03-31,-4.401,50.79,125267
1095,Operational,3.2,2013-03-22,-1.302,50.735,83000
1096,Operational,4.8,2013-03-23,-1.204,50.642,152000
1097,Operational,5.3,2013-06-03,-0.383,52.318,166000
1098,Operational,1.3,2013-04-30,-5.225,50.171,24078
1103,Operational,5.0,2013-03-21,-2.971,51.12,93411
1108,Operational,15.0,2016-02-15,1.309,52.498,280797
1128,Operational,5.0,2016-02-18,1.184,52.797,93411
1156,Revised,7.0,,-1.506,51.162,109000
1157,Operational,6.3,2013-03-24,-1.308,50.949,160000
