year,number of solar farms,total installed capacity (MWelec),total area (km^2),average area (m^2),max area (m^2)
2011,43,145.9,3.4,78766,147600
2012,31,116.1,2.7,85632,299536
2013,115,615.9,13.5,117235,754600
2014,192,1786.5,35.5,184768,786000
2015,329,2900.7,59.8,181811,910575
2016,275,1950.0,39.4,143232,1352648
2017,139,784.5,17.3,124232,490000
2018,15,99.5,1.9,127601,481301
2019,23,64.9,1.4,60965,740000
2020,34,128.2,2.4,70753,749264
2021,61,217.5,3.9,64355,1214100
2022,42,217.9,4.0,96027,824218
2023,38,393.8,7.3,191443,1077000
2024,24,470.9,8.8,367361,1200000
2025,18,740.9,13.5,750991,6989233
2026,2,79.9,1.5,748326,934776
