Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),lon,lat
2470,Under Construction,1400.0,,14.0,100,282.0,2.173,52.137
2471,Awaiting Construction,800.0,,11.9,67,282.0,2.173,52.137
2472,Awaiting Construction,2955.0,,10.0,231,,1.421,53.682
2473,Awaiting Construction,2600.0,,14.4,180,,1.421,53.682
2479,Operational,30.0,2017-10-27,6.0,5,,-1.443,57.507
2484,Awaiting Construction,1380.0,,15.0,92,350.0,2.552,52.62
2485,Operational,10.0,2007-07-17,5.0,2,,-2.888,58.253
2487,Operational,90.0,2007-10-18,3.6,25,,-3.185,53.488
2488,Operational,12.0,2013-04-19,6.0,2,,1.192,51.703
2489,Operational,64.8,2009-07-24,3.6,18,,1.246,51.727
2490,Operational,108.0,2009-07-24,3.6,30,,1.218,51.731
2491,Operational,97.2,2008-04-20,3.6,27,,0.447,53.188
2492,Operational,90.0,2005-09-10,3.0,30,,1.094,51.461
2493,Operational,97.2,2008-03-15,3.6,27,,0.452,53.136
2494,Operational,60.0,2003-12-01,2.0,30,,-3.449,53.417
2495,Operational,90.0,2009-12-28,3.6,25,,-3.64,53.378
2496,Operational,84.0,2010-04-28,3.0,28,,-3.696,54.764
2497,Operational,90.0,2009-07-18,3.0,30,,-3.729,54.747
2498,Operational,60.0,2004-03-01,2.0,30,,1.789,52.644
2499,Operational,300.0,2010-09-16,3.0,100,,1.633,51.43
2500,Operational,183.6,2011-05-30,3.6,51,,-3.516,54.039
2502,Operational,1320.0,2022-08-31,8.0,165,,1.54,53.96
2504,Operational,49.5,2015-09-14,3.3,15,,1.08,51.45
2505,Operational,96.8,2018-09-07,8.8,11,,-2.073,57.146
2506,Operational,183.6,2012-04-06,3.6,51,,-3.609,54.081
2509,Operational,150.0,2012-02-22,5.0,30,,-3.439,54.089
2510,Operational,504.0,2012-09-07,3.6,140,,1.928,51.918
2511,Operational,630.0,2013-04-06,3.6,175,,1.496,51.622
2512,Operational,317.0,2012-10-29,3.6,88,,1.148,53.135
2513,Operational,270.0,2013-07-24,3.6,75,,0.498,53.184
2514,Operational,62.0,2013-08-31,2.3,27,,-1.095,54.645
2515,Operational,289.8,2017-06-08,6.3,46,154.0,0.589,53.136
2517,Under Construction,1200.0,,14.0,87,260.0,2.33,55.21
2519,Operational,389.0,2014-10-30,3.6,108,,-3.462,53.985
2520,Operational,400.0,2017-11-26,3.45,116,140.0,-0.18,50.64
2521,Operational,588.0,2019-08-05,7.0,84,,-2.95,58.088
2522,Operational,450.0,2025-07-01,8.0,54,208.0,-2.25,56.27
2523,Operational,41.5,2017-10-22,8.3,5,,-1.364,55.167
2524,Operational,714.0,2020-07-28,7.0,102,,2.173,52.137
2525,Operational,1218.0,2019-12-01,7.0,174,,1.421,53.682
2526,Operational,353.0,2018-03-30,6.3,56,,2.04,51.88
2527,Awaiting Construction,1080.0,,15.0,72,291.0,-2.2,56.5
2528,Operational,7.0,2014-03-31,6.0,1,,-2.958,56.161
2532,Operational,857.0,2022-01-13,9.5,90,187.0,0.862,53.212
2533,Operational,659.0,2018-09-13,6.0,110,222.0,-3.74,54.09
2534,Operational,950.0,2022-04-01,9.5,100,204.0,-2.791,57.967
2538,Operational,402.0,2017-10-15,6.0,67,,0.613,53.117
2539,Operational,258.0,2017-04-27,8.0,32,,-3.27,53.48
2540,Operational,1075.0,2023-10-16,9.2,114,,-1.927,56.636
2541,Under Construction,2400.0,,113.0,190,260.0,1.668,55.967
2543,Operational,576.0,2015-06-18,3.6,160,,-3.627,53.454
2544,Operational,219.0,2015-05-30,3.0,73,,0.501,53.387
2545,Operational,210.0,2015-05-26,6.0,35,,0.561,53.098
2546,Operational,90.0,2006-04-01,3.0,30,,-3.298,53.991
5863,Revised,,,,1,280.0,-2.997,56.155
5867,Awaiting Construction,900.0,,12.0,75,282.0,2.169,52.721
6136,Operational,49.5,2021-10-19,9.5,6,176.0,-1.874,56.997
6158,Under Construction,882.0,,14.7,60,230.0,-3.313,58.07
6264,Under Construction,10.0,,5.0,2,201.0,-3.877,58.698
6483,Under Construction,1400.0,,,92,,2.552,52.62
6501,Operational,283.5,2018-02-01,6.3,45,154.0,0.589,53.136
6556,Under Construction,1400.0,,,100,252.0,2.33,55.21
6810,Awaiting Construction,32.0,,,4,220.0,-5.431,50.193
7691,Awaiting Construction,317.0,,,27,326.0,1.184,53.149
7692,Awaiting Construction,402.0,,,34,326.0,1.184,53.149
7698,Awaiting Construction,1200.0,,,90,325.0,-0.18,50.64
7699,Awaiting Construction,775.0,,,,,-3.802,53.465
7861,Awaiting Construction,100.0,,,10,150.0,-4.936,51.609
9803,Application Submitted,300.0,,3.8,79,320.0,1.352,51.964
