year,number of wind farms,total installed capacity (MWelec),total number of turbines,average turbine capacity (MWelec),max turbine capacity (MWelec)
1992,0,0.0,0,0.0,0.0
1993,0,0.0,0,0.0,0.0
1994,0,0.0,0,0.0,0.0
1995,0,0.0,0,0.0,0.0
1996,0,0.0,0,0.0,0.0
1997,0,0.0,0,0.0,0.0
1998,0,0.0,0,0.0,0.0
1999,0,0.0,0,0.0,0.0
2000,0,0.0,0,0.0,0.0
2001,0,0.0,0,0.0,0.0
2002,0,0.0,0,0.0,0.0
2003,1,60.0,30,2.0,2.0
2004,1,60.0,30,2.0,2.0
2005,1,90.0,30,3.0,3.0
2006,1,90.0,30,3.0,3.0
2007,2,100.0,27,4.3,5.0
2008,2,194.4,54,3.6,3.6
2009,4,352.8,103,3.4,3.6
2010,2,384.0,128,3.0,3.0
2011,1,183.6,51,3.6,3.6
2012,4,1154.6,309,4.0,5.0
2013,4,974.0,279,3.9,6.0
2014,2,396.0,109,4.8,6.0
2015,4,1054.5,283,4.0,6.0
2016,0,0.0,0,0.0,0.0
2017,6,1421.3,271,6.3,8.3
2018,4,1392.3,222,6.8,8.8
2019,2,1806.0,258,7.0,7.0
2020,1,714.0,102,7.0,7.0
2021,1,49.5,6,9.5,9.5
2022,3,3127.0,355,9.0,9.5
2023,1,1075.0,114,9.2,9.2
2024,0,0.0,0,0.0,0.0
2025,1,450.0,54,8.0,8.0
