Ref ID,Development Status (short),Installed Capacity (MWelec),Operational,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),lon,lat
2555,Operational,1.5,2000-07-22,1.47,1,,1.654,52.71
2556,Operational,1.5,1999-08-16,1.47,1,,0.683,52.657
2559,Operational,10.2,1998-04-18,0.54,19,,-3.971,52.466
2563,Operational,58.5,2005-01-25,1.5,39,,-3.751,52.405
2564,Operational,16.8,1996-10-01,0.6,28,,-3.608,52.549
2565,Operational,16.8,1996-10-01,0.6,28,,-3.579,52.542
2566,Operational,3.4,2002-02-01,0.56,6,,-3.672,52.658
2567,Operational,5.6,1996-05-01,0.4,14,,-4.346,53.375
2568,Operational,2.6,2002-12-15,0.85,3,,-3.588,52.996
2574,Operational,3.0,1999-04-24,0.5,6,,-3.039,53.465
2576,Operational,15.3,2002-02-23,0.85,18,,-3.674,52.64
2582,Operational,20.4,1997-10-01,2.25,9,,-4.466,53.354
2586,Operational,2.6,2001-12-30,0.9,3,,-1.823,54.764
2587,Operational,1.8,2000-05-22,0.6,3,,-1.989,55.087
2591,Operational,3.0,1997-04-01,0.75,4,,-1.427,54.827
2609,Revised,9.0,,1.0,9,,-2.168,53.702
2613,Operational,2.3,2000-02-01,0.4,6,,-3.072,54.871
2617,Operational,2.5,1997-01-01,0.5,5,,-3.147,54.205
2618,Operational,10.4,2007-08-07,1.3,8,,-3.275,54.723
2624,Operational,4.2,1996-08-01,0.6,7,,-3.543,54.674
2625,Operational,5.4,1996-09-01,0.6,9,,-3.556,54.66
2626,Operational,2.4,1998-07-01,0.6,4,,-3.325,54.204
2630,Operational,3.9,2002-07-30,1.3,3,,-4.441,51.997
2636,Operational,3.6,2001-02-01,0.7,5,,-4.53,51.757
2649,Revised,7.8,,,,,-4.603,50.636
2650,Revised,7.4,,,5,,-4.61,50.685
2653,Operational,2.6,2003-01-30,1.3,2,,-3.725,53.136
2659,Operational,9.0,2002-01-31,1.3,7,,0.099,53.669
2668,Revised,9.2,,3.07,3,,-3.18,52.21
2671,Revised,47.5,,2.0,19,,-4.417,55.332
2672,Operational,2.4,2013-02-18,0.8,3,,-2.288,55.867
2673,Operational,20.0,2011-09-01,2.5,8,,-3.979,57.992
2674,Operational,26.0,2011-04-14,2.0,13,,-3.66,51.736
2680,Operational,6.9,2013-02-15,2.3,3,,-1.692,53.537
2682,Revised,6.0,,2.0,3,,-2.184,52.072
2683,Operational,2.0,2011-08-12,2.0,1,,0.15,51.529
2686,Revised,19.5,,1.3,15,,-4.857,55.146
2687,Operational,1.5,2011-12-07,0.75,2,,-3.447,56.056
2690,Revised,14.0,,2.0,7,,-0.679,53.599
2691,Operational,2.3,2010-01-04,2.3,1,,-2.652,57.661
2693,Revised,8.0,,2.0,4,,-2.855,57.386
2694,Operational,1.5,2010-03-01,1.5,1,,1.004,51.863
2695,Operational,2.0,2016-04-15,2.0,1,,-1.084,53.677
2697,Operational,4.3,2010-09-20,0.9,5,,-3.073,59.096
2702,Revised,6.9,,2.3,3,,-2.245,57.354
2704,Operational,1.5,2011-10-31,1.5,1,,-3.444,56.054
2706,Revised,10.0,,2.0,5,121.0,-3.323,54.246
2708,Operational,2.3,2009-12-01,1.3,1,,-2.581,57.626
2710,Revised,20.7,,2.3,9,,-7.45,54.587
2711,Operational,13.2,2000-11-01,0.66,20,,-4.126,55.363
2713,Operational,4.8,1993-01-01,0.4,12,,-3.136,54.257
2715,Operational,4.6,2006-11-01,0.76,6,,0.238,53.321
2721,Revised,2.3,,2.3,1,,-6.29,55.045
2723,Operational,15.0,2011-04-01,2.5,6,,-4.884,57.155
2724,Operational,2.6,2010-07-10,0.85,3,,-2.814,57.315
2729,Revised,8.0,,2.0,4,,-1.671,52.685
2741,Operational,6.0,2012-12-18,2.0,3,,-1.911,57.572
2742,Operational,2.0,2010-07-01,2.0,1,,-3.123,58.827
2747,Operational,1.2,2004-05-01,0.3,4,,-1.914,53.962
2748,Revised,9.0,,3.0,3,,1.54,52.44
2749,Revised,9.0,,3.0,3,,1.511,52.449
2750,Revised,9.0,,3.0,3,,1.55,52.445
2757,Operational,109.0,2013-01-15,3.0,36,,-4.318,55.639
2758,Operational,1.7,2010-07-09,0.85,2,,-2.241,57.472
2762,Revised,10.0,,2.0,5,,-2.959,51.19
2767,Awaiting Construction,80.0,,3.8,21,149.9,-4.781,55.082
2776,Operational,9.0,1993-10-01,0.45,20,,-3.465,51.569
2780,Operational,4.6,2015-12-01,2.0,2,,-3.318,56.091
2782,Operational,2.3,2009-06-04,2.3,1,,-2.261,57.392
2784,Revised,16.1,,2.3,7,,-0.826,53.79
