year,number of wind farms,total installed capacity (MWelec),total number of turbines,average turbine capacity (MWelec),max turbine capacity (MWelec)
1992,2,4.0,13,0.3,0.3
1993,5,60.3,172,0.4,0.4
1994,4,25.4,53,0.5,0.5
1995,5,30.6,56,0.5,0.6
1996,6,70.4,122,0.6,0.6
1997,7,59.3,88,0.8,2.2
1998,3,17.1,38,0.5,0.6
1999,5,20.9,34,0.8,1.5
2000,10,54.1,80,0.9,1.5
2001,10,91.9,116,1.0,2.3
2002,11,97.5,115,0.9,1.3
2003,8,68.6,45,1.5,2.0
2004,15,363.9,207,1.5,3.0
2005,19,421.8,302,1.5,2.5
2006,18,418.1,200,1.9,3.0
2007,24,572.0,284,1.7,2.5
2008,36,619.9,314,1.8,3.0
2009,29,394.3,217,1.8,3.0
2010,35,597.7,293,2.0,3.0
2011,37,458.7,245,1.8,2.5
2012,42,1322.7,596,2.0,3.4
2013,91,1518.0,667,2.2,3.3
2014,68,839.9,394,2.1,3.4
2015,54,578.2,276,2.0,3.4
2016,69,1311.8,582,2.2,3.3
2017,85,2091.4,799,2.3,3.5
2018,24,876.6,328,2.3,3.4
2019,14,386.3,148,2.2,3.4
2020,6,103.0,44,2.5,3.6
2021,11,287.3,83,3.3,4.8
2022,2,83.5,34,2.5,2.5
2023,10,612.8,150,4.0,4.8
2024,7,619.4,146,3.6,4.8
2025,3,167.9,39,4.4,4.5
