name,lat,lon,plant:source,plant:output:electricity,plant:storage
Chadderton BESS,53.5311007,-2.1660259,battery,20.0,20.0
Thornton Greener Grid Park,53.9015205,-0.8254541,battery,200.0,400.0
Tynemouth Energy Storage System,55.0250255,-1.5028743,battery,25.0,12.5
Stocking Pelham Battery Storage,51.9379835,0.1199629,battery,49.99,50.0
Pen y Cymoedd Energy Storage,51.7072032,-3.5854439,battery,22.0,33.0
Richborough Energy Park,51.3118284,1.3425250,battery,100.0,100.0
Willoughby Battery Storage,52.8260323,-1.0721434,battery,20.0,28.0
Lockleaze Energy Storage,51.4849100,-2.5716158,battery,15.0,22.0
Nevendon Battery Storage,51.5945444,0.4861068,battery,15.0,33.0
Tir John Battery Storage,51.6254973,-3.8973027,battery,20.0,22.0
Briton Ferry Battery Storage,51.6246285,-3.8233012,battery,20.0,22.0
Flatworth Battery Storage,55.0033727,-1.4831282,battery,17.0,20.0
Hirwaun,51.7432756,-3.5409692,battery,21.76,52.0
West Burton B Battery Storage,53.3644334,-0.7964397,battery,49.0,24.5
Dorking Battery Energy Storage System,51.2303328,-0.3548727,battery,6.0,6.0
Minety South 1,51.6079098,-1.9984653,battery,50.0,50.0
Hill Farm Battery Storage,52.7245651,-1.4475645,battery,10.0,12.0
Mill Farm Battery Storage,53.0252049,-0.5846411,battery,7.2,7.0
Mannington Battery Storage Plant,51.5523249,-1.8142657,battery,49.9,75.0
Pillswood Battery Storage,53.7998948,-0.4107723,battery,98.0,196.0
Aylesford Battery Storage,51.3151220,0.4624151,battery,29.0,29.0
Hallen BESS,51.5282861,-2.6605469,battery,32.0,32.0
Arbroath Battery,56.5649872,-2.6196477,battery,35.0,35.0
Contego Battery,50.9552546,-0.1629623,battery,34.0,68.0
Hawkers Hill Energy Park,51.0137150,-2.2080430,battery,20.0,40.0
Nursling Battery Storage,50.9423625,-1.4847702,battery,50.0,53.0
Cowley Battery Storage,51.7097859,-1.1896758,battery,52.0,55.0
Bustleholme Battery,52.5534703,-1.9574842,battery,49.9,100.0
Enderby Battery Storage,52.5988866,-1.2231170,battery,50.0,50.0
Wickham Battery Storage,52.1876561,1.3655145,battery,50.0,74.0
Kemsley Battery Storage,51.3667427,0.7424510,battery,50.0,50.0
Byers Brae Battery Storage,55.9072374,-3.5880127,battery,30.0,30.0
Wishaw Battery,55.7693429,-3.9387046,battery,50.0,100.0
Blackhillock Energy Storage,57.5162493,-2.9428937,battery,200.0,400.0
Winchester Battery Storage,51.0400767,-1.3696047,battery,19.0,38.0
Broadditch Battery,51.4143802,0.3267414,battery,11.0,22.0
Chapel Farm Battery Storage,51.9267190,-0.4964810,battery,49.5,99.0
Clay Tye BESS,51.5521959,0.2977754,battery,99.0,198.0
Farnham Battery Storage,51.1893601,-0.8290922,battery,20.0,40.0
Fordtown Battery Energy Storage System,57.2207142,-2.3703415,battery,50.0,50.0
Dunsinane Battery Storage,56.4803838,-3.0126988,battery,50.0,50.0
Camilla Battery Storage,56.1091007,-3.2656399,battery,50.0,50.0
Doncaster Battery Storage,53.5014840,-1.1159196,battery,10.0,10.0
Tollgate Battery Storage Facility,51.7352939,-0.2372461,battery,49.0,99.0
Melksham East Battery Storage,51.3924705,-2.1560778,battery,100.0,100.0
Capenhurst Battery Energy Storage,53.2656886,-2.9439242,battery,100.0,107.0
Lower Road Battery,51.6407854,0.3579567,battery,10.0,10.0
Little Raith Battery Storage,56.1103069,-3.2705836,battery,49.5,99.0
Rise Car EES1,54.5463952,-1.5591993,battery,0.0025,5.0
Wormald Green BESS,54.0753498,-1.5228189,battery,33.0,66.0
Kilmarnock South Battery Energy Storage System,55.5771316,-4.4671824,battery,300.0,600.0
Hyde BESS,53.4559261,-2.0656640,battery,42.0,104.0
Shilton Lane Battery Storage,55.9026696,-4.4799348,battery,40.0,80.0
Lakeside Energy Park,53.7326552,-0.9890672,battery,100.0,200.0
Roaring Hill Energy Storage,56.2077255,-3.2036084,battery,50.0,100.0
Bramford battery storage,52.0727205,1.0650319,battery,57.0,114.0
Braintree Road BESS,51.8663727,0.5741239,battery,57.0,144.0
Hawthorn Grid Site - Battery Storage,54.8065818,-1.3997601,battery,49.9,99.8
Stairfoot Battery Storage & 33kV substation,53.5503278,-1.4486481,battery,40.0,120.0
Driffield Solar Farm Battery Storage,53.9955273,-0.4131514,battery,30.0,60.0
Monk Fryston Battery Storage,53.7535973,-1.2649890,battery,57.0,165.0
Golds Hill BESS,52.5400758,-2.0309221,battery,57.0,165.0
Capenhurst Lane BESS,53.2679272,-2.9503085,battery,57.0,165.0
Native River BESS,53.2646923,-2.9452298,battery,57.0,138.0
Cathkin BESS,55.7861961,-4.1955320,battery,50.0,100.0
Widow Hill BESS,53.8074445,-2.2095541,battery,70.0,163.0
Larks Green Solar Farm Battery Storage,51.5759452,-2.4751747,battery,49.5,99.0
Coupar Angus BESS,56.5379613,-3.2714801,battery,40.0,80.0
Enderby Battery Storage,52.5996358,-1.2156685,battery,57.0,57.0
Uskmouth BESS,51.5468229,-2.9684818,battery,230.0,460.0
Trondheim Way Immingham BESS,53.6073062,-0.1825820,battery,80.0,160.0
Loudwater BESS,51.6120091,-0.6903644,battery,40.0,60.0
Field Newport BESS,51.5657008,-2.9665178,battery,20.0,50.0
Swangate BESS,53.5018178,-1.3801701,battery,50.0,102.0
Auchteraw BESS,57.1278766,-4.7271386,battery,49.9,100.0
Blackpool BESS,53.8489286,-3.0261360,battery,25.0,50.0
Holes Bay BESS,50.7264012,-1.9900764,battery,7.5,15.0
Gerrards Cross BESS,51.5784561,-0.5310539,battery,20.0,20.0
Skelmersdale Battery,53.5622716,-2.8065001,battery,49.9,100.0
Catsbrain Farm BESS,51.6007602,-1.7485904,battery,30.0,60.0
Torquay BESS,50.4870769,-3.5442589,battery,22.0,44.0
Whitebirk BESS,53.7558309,-2.4447128,battery,25.0,50.0
Bredbury BESS,53.4155183,-2.1326606,battery,50.0,100.0
Welkin Mill BESS,53.4190007,-2.1360076,battery,35.0,70.0
Welkin Road BESS,53.4162333,-2.1360784,battery,20.0,40.0
Ferrybridge BESS,53.7209046,-1.2757431,battery,150.0,300.0
Sundon Battery Storage,51.9332311,-0.4987453,battery,50.0,100.0
Minety South 2,51.6078470,-1.9970568,battery,50.0,50.0
Overhill BESS,57.4056844,-2.5184656,battery,49.9,110.0
Broxburn BESS,55.9152012,-3.4614852,battery,50.0,100.0
Indian Queens BESS,50.3967640,-4.8994317,battery,50.0,100.0
Sambar Power BESS,50.3931869,-4.9017329,battery,47.5,102.0
Bramley BESS,51.3335709,-1.0714637,battery,100.0,331.0
Hams Hall BESS,52.5372225,-1.7138243,battery,400.0,1424.0
Berkswell BESS,52.3827558,-1.6184530,battery,200.0,712.0
Midsummer Norton Energy Storage Facility,51.2913842,-2.4704717,battery,6.0,12.0
Sandridge BESS,51.3778837,-2.1000946,battery,49.9,100.0
Charnock Richard Battery Storage,53.6160401,-2.6920863,battery,30.0,60.0
Penwortham Storage,53.7478019,-2.7591066,battery,50.0,100.0
Ryton Battery,54.9751269,-1.7405470,battery,78.0,156.0
Scurf Dyke BESS,53.9512199,-0.4027711,battery,8.0,16.0
Berkeley BESS,51.6831804,-2.4189543,battery,50.0,58.0
Iron Acton BESS,51.5682800,-2.4778716,battery,120.0,300.0
