name,lat,lon,plant:source,plant:output:electricity,plant:storage
Seabank Power Station,51.5391657,-2.6702940,gas,1145.0,
Pembroke Power Station,51.6835690,-4.9932894,gas,2199.0,
Connahs Quay Power Station,53.2329472,-3.0838389,gas,1380.0,
King's Lynn Power Station,52.7274471,0.3799039,gas,386.0,
Rocksavage Power Station,53.3151869,-2.7233649,gas,800.0,
Little Barford Power Station,52.2043235,-0.2673933,gas,740.0,
Ballylumford Power Station,54.8452254,-5.7829458,gas,1246.0,
Kilroot Power Station,54.7270733,-5.7654406,gas,656.0,
Sutton Bridge Power Station,52.7570674,0.1919961,gas,819.0,
Rye House Power Station,51.7629592,0.0091240,gas,715.0,
Keadby 2 Power Station,53.5948748,-0.7523798,gas,893.0,
Carrington Power Station,53.4374010,-2.4103201,gas,884.0,
Broad Street City Centre Energy Network CHP,52.4790986,-1.9125629,gas,1.5,
Heartlands Power Station,52.5101564,-1.8086216,gas,100.0,
Corby Power Station,52.5104776,-0.6812503,gas,350.0,
Peterhead Power Station,57.4779207,-1.7881844,gas,2177.0,
Indian Queens Power Station,50.3959441,-4.8996428,gas,140.0,
Spalding Power Station,52.8064292,-0.1328160,gas,860.0,
West Burton B Power Station,53.3640329,-0.7974485,gas,1332.0,
Bunhill Energy Centre,51.5254801,-0.0960037,gas,1.9,
Langage Power Station,50.3884441,-4.0115407,gas,885.0,
Mucking Gas 2 Landfill Scheme,51.4941263,0.4251207,gas,3.8,
Great Yarmouth Power Station,52.5849484,1.7332441,gas,420.0,
Marchwood Power Station,50.8978881,-1.4378112,gas,898.1,
South Humber Bank Power Station,53.6012427,-0.1455792,gas,1365.0,
Killingholme B Power Station,53.6541491,-0.2554398,gas,900.0,
Glanford Brigg Power Station,53.5417671,-0.5044551,gas,240.0,
Immingham Power Station,53.6379721,-0.2356975,gas,1180.0,
Codford Biogas,51.1720786,-2.0150979,gas,1.5,
Staythorpe C Power Station,53.0726348,-0.8597603,gas,1772.0,
AstraZeneca Macclesfield CHP,53.2755433,-2.1102131,gas,23.0,
Enfield Power Station,51.6629796,-0.0222964,gas,442.0,
,51.4675349,-2.1079608,gas,10.0,
Saltend Power Station,53.7341600,-0.2429463,gas,1200.0,
Kestral Road,53.1308074,-1.2153824,gas,4.0,
Taylors Lane Power Station,51.5460054,-0.2575807,gas,132.0,
Gedling Energy Park,52.9891623,-1.0900849,gas,3.0,
Shoreham Power Station,50.8297485,-0.2306078,gas,420.0,
Tillydrone Energy Centre,57.1731212,-2.1180743,gas,1.067,
