name,lat,lon,plant:source,plant:output:electricity,plant:storage
Sloy Power station,56.2511005,-4.7116402,hydro,152.5,
Rannoch Power Station,56.6930310,-4.4020266,hydro,44.1,
Linton Falls Hydro,54.0671295,-2.0027238,hydro,0.1,
Kinlochleven Hydro-electric Scheme,56.7128268,-4.9578946,hydro,24.0,
Lochaber Hydroelectric Scheme,56.8295994,-5.0701546,hydro,82.0,
Kilmorack Power Station,57.4632555,-4.5120406,hydro,20.0,
Aigas Power Station,57.4574951,-4.5450560,hydro,20.0,
Garrogie Hydro Scheme,57.1857489,-4.4821421,hydro,2.0,
Grudie Bridge Power Station,57.6194749,-4.8309936,hydro,18.7,
Shin Power Station,57.9434733,-4.4114217,hydro,18.6,
Dalchonzie Power Station,56.3732545,-4.0408564,hydro,4.0,
Lochay Power Station,56.4845946,-4.3634651,hydro,45.0,
Rheidol Power Station,52.3963246,-3.8997722,hydro,41.0,
Quoich Power Station,57.0626342,-5.1235684,hydro,18.5,
Cuaich Power Station,56.9529055,-4.1817868,hydro,2.5,
Llyn Celyn Power Station,52.9452145,-3.6683722,hydro,4.5,
Belper Mills Hydro,53.0283521,-1.4857954,hydro,0.35000000000000003,
Finlarig Power Station,56.4815940,-4.2987376,hydro,16.5,
Kerry Falls Power Station,57.6851299,-5.6433595,hydro,1.0,
Glendoe Hydro Scheme,57.1365893,-4.6434136,hydro,100.0,
Lubreoch Power Station,56.5421394,-4.5170614,hydro,4.0,
Cashlie Power Station,56.5474412,-4.4300653,hydro,11.0,
Pant yr Afon Powerhouse,53.0033617,-3.9429793,hydro,0.4,
Cwm Dyli Power Station,53.0659321,-4.0114498,hydro,9.8,
Pitlochry Power Station,56.6991441,-3.7402532,hydro,15.0,
Fasnakyle Power Station,57.3259973,-4.7941768,hydro,69.0,
Clunie Power Station,56.7169717,-3.7781312,hydro,61.4,
Clachan Power Station,56.2774761,-4.9218524,hydro,40.0,
Kingairloch Hydro,56.6211218,-5.5285009,hydro,3.5,
Maentwrog Hydroelectric Power Station,52.9359838,-4.0041689,hydro,30.0,
Mucomir Power Station,56.9103379,-4.9849827,hydro,2.0,
Foyers Falls Power Station,57.2553153,-4.4931794,hydro,5.2,
Cassley Power Station,58.1686614,-4.7279279,hydro,10.0,
Lairg Power Station,58.0286809,-4.4148826,hydro,3.5,
Shin Diversion Weir,58.0128569,-4.4017697,hydro,18.6,
Luichart Power Station,57.5745710,-4.6869810,hydro,34.0,
Mossford Hydro Power Station,57.6283111,-4.7978068,hydro,18.6,
Achanalt Power Station,57.6158953,-4.8326557,hydro,3.0,
Orrin Power Station,57.5540784,-4.6153925,hydro,18.0,
Morwellham Power Station,50.5074421,-4.1908483,hydro,0.64,
,51.8761968,-3.3010893,hydro,0.036000000000000004,
Glenlee Power Station,55.0996403,-4.1861668,hydro,24.0,
Halton Lune Community Hydro,54.0762952,-2.7466606,hydro,0.16,
Stockport Community Hydro,53.4015083,-2.0973422,hydro,0.068,
Auchtertyre Hydropower,56.4254574,-4.6701208,hydro,0.1,
Allt na Lairige hydro power station,56.3065172,-4.8610597,hydro,6.0,
Torrs Hydro,53.3639948,-2.0000813,hydro,0.063,
Ffestiniog Hydroelectric generator,52.9752757,-3.9457575,hydro,0.71,
Carsfad Hydroelectric Power Station,55.1435568,-4.1892650,hydro,12.0,
Maldie Burn Hydro,58.2601385,-4.9831902,hydro,4.0,
Ffestiniog Power Station,52.9806203,-3.9684731,hydro,360.0,1300.0
Kilmelford Power Station,56.2731530,-5.4893832,hydro,2.1,
Dolgarrog Hydroelectric Power Station,53.1915687,-3.8421314,hydro,32.0,
Cruachan Power Station,56.3938170,-5.1134499,hydro,440.0,10000.0
Foyers Power Station,57.2620470,-4.4835079,hydro,300.0,6300.0
,51.8824384,-4.8523398,hydro,0.037,
Tummel Bridge Hydro-electric Power Station,56.7063908,-4.0211982,hydro,34.0,
Errochty Hydroelectric Power Station,56.7091101,-4.0064740,hydro,75.0,
Dinas Power Station,52.4308983,-3.8450303,hydro,13.0,
,52.3971382,-3.9205057,hydro,1.0,
Kielder Water Hydroelectric Plant,55.1851760,-2.4579749,hydro,6.1,
Kendoon Hydroelectric Power Station,55.1646822,-4.1908091,hydro,24.0,
