lat,lon,vertex1_lat,vertex1_lon,vertex2_lat,vertex2_lon,vertex3_lat,vertex3_lon,vertex4_lat,vertex4_lon,vertex5_lat,vertex5_lon,vertex6_lat,vertex6_lon
36.6697,-102.1565,36.5932,-101.9285,36.4717,-102.1373,36.5483,-102.3650,36.7463,-102.3847,36.8680,-102.1760,36.7915,-101.9475
36.6239,-102.5927,36.5483,-102.3650,36.4261,-102.5727,36.5018,-102.8001,36.6996,-102.8204,36.8220,-102.6128,36.7463,-102.3847
36.5766,-103.0273,36.5018,-102.8001,36.3791,-103.0067,36.4539,-103.2337,36.6515,-103.2547,36.7744,-103.0481,36.6996,-102.8204
36.5579,-100.1523,36.4771,-99.9234,36.3584,-100.1361,36.4393,-100.3649,36.6390,-100.3815,36.7578,-100.1687,36.6769,-99.9393
36.5193,-100.5936,36.4393,-100.3649,36.3199,-100.5767,36.4000,-100.8051,36.5994,-100.8224,36.7190,-100.6106,36.6390,-100.3815
36.4791,-101.0335,36.4000,-100.8051,36.2800,-101.0160,36.3592,-101.2441,36.5584,-101.2621,36.6786,-101.0512,36.5994,-100.8224
36.4374,-101.4721,36.3592,-101.2441,36.2385,-101.4539,36.3168,-101.6817,36.5158,-101.7003,36.6367,-101.4906,36.5584,-101.2621
36.3942,-101.9094,36.3168,-101.6817,36.1955,-101.8905,36.2729,-102.1180,36.4717,-102.1373,36.5932,-101.9285,36.5158,-101.7003
36.3495,-102.3453,36.2729,-102.1180,36.1510,-102.3258,36.2276,-102.5528,36.4261,-102.5727,36.5483,-102.3650,36.4717,-102.1373
36.3033,-102.7797,36.2276,-102.5528,36.1050,-102.7596,36.1808,-102.9862,36.3791,-103.0067,36.5018,-102.8001,36.4261,-102.5727
36.2764,-99.9074,36.1947,-99.6789,36.0762,-99.8916,36.1580,-100.1199,36.3584,-100.1361,36.4771,-99.9234,36.3952,-99.6944
36.2556,-103.2126,36.1808,-102.9862,36.0576,-103.1918,36.1325,-103.4180,36.3305,-103.4392,36.4539,-103.2337,36.3791,-103.0067
36.2389,-100.3482,36.1580,-100.1199,36.0388,-100.3317,36.1198,-100.5598,36.3199,-100.5767,36.4393,-100.3649,36.3584,-100.1361
36.1998,-100.7878,36.1198,-100.5598,35.9999,-100.7707,36.0800,-100.9984,36.2800,-101.0160,36.4000,-100.8051,36.3199,-100.5767
36.1592,-101.2261,36.0800,-100.9984,35.9595,-101.2083,36.0388,-101.4357,36.2385,-101.4539,36.3592,-101.2441,36.2800,-101.0160
36.1171,-101.6630,36.0388,-101.4357,35.9176,-101.6446,35.9960,-101.8717,36.1955,-101.8905,36.3168,-101.6817,36.2385,-101.4539
36.0734,-102.0986,35.9960,-101.8717,35.8742,-102.0796,35.9517,-102.3062,36.1510,-102.3258,36.2729,-102.1180,36.1955,-101.8905
36.0283,-102.5328,35.9517,-102.3062,35.8294,-102.5131,35.9060,-102.7394,36.1050,-102.7596,36.2276,-102.5528,36.1510,-102.3258
35.9818,-102.9655,35.9060,-102.7394,35.7831,-102.9452,35.8589,-103.1710,36.0576,-103.1918,36.1808,-102.9862,36.1050,-102.7596
35.9569,-100.1037,35.8751,-99.8758,35.7561,-100.0876,35.8380,-100.3153,36.0388,-100.3317,36.1580,-100.1199,36.0762,-99.8916
35.9189,-100.5429,35.8380,-100.3153,35.7183,-100.5262,35.7993,-100.7535,35.9999,-100.7707,36.1198,-100.5598,36.0388,-100.3317
35.8794,-100.9808,35.7993,-100.7535,35.6790,-100.9634,35.7591,-101.1905,35.9595,-101.2083,36.0800,-100.9984,35.9999,-100.7707
35.8383,-101.4175,35.7591,-101.1905,35.6382,-101.3994,35.7175,-101.6261,35.9176,-101.6446,36.0388,-101.4357,35.9595,-101.2083
35.7958,-101.8528,35.7175,-101.6261,35.5959,-101.8341,35.6743,-102.0604,35.8742,-102.0796,35.9960,-101.8717,35.9176,-101.6446
