lat,lon
60.8333,-0.7697
60.5094,-1.1421
60.1915,-0.7534
60.1851,-1.5065
60.1744,-2.2591
59.8688,-1.1181
59.5457,-1.4751
59.5353,-2.2121
59.5208,-2.9483
59.2100,-2.5537
59.1937,-3.2819
58.8845,-2.8882
58.8664,-3.6085
58.5588,-3.2158
58.5390,-3.9283
58.5153,-4.6397
58.4561,-6.0579
58.4208,-6.7644
58.2507,-2.8305
58.2331,-3.5366
58.2116,-4.2415
58.1863,-4.9452
58.1242,-6.3478
58.0874,-7.0464
57.9073,-3.8508
57.8843,-4.5482
57.8574,-5.2443
57.8268,-5.9388
57.7924,-6.6316
57.7542,-7.3225
57.6423,-1.3884
57.6328,-2.0821
57.6195,-2.7751
57.6024,-3.4674
57.5816,-4.1586
57.5570,-4.8487
57.5286,-5.5373
57.4966,-6.2243
57.4608,-6.9096
57.3232,-1.7184
57.3120,-2.4051
57.2970,-3.0911
57.2783,-3.7762
57.2559,-4.4603
57.2298,-5.1430
57.2000,-5.8243
57.1666,-6.5040
57.1295,-7.1818
57.0040,-2.0421
56.9911,-2.7218
56.9745,-3.4009
56.9543,-4.0789
56.9304,-4.7559
56.9028,-5.4315
56.8717,-6.1055
56.7986,-7.4485
56.6848,-2.3594
56.6703,-3.0324
56.6521,-3.7045
56.6303,-4.3756
56.6050,-5.0456
56.5760,-5.7141
56.5435,-6.3811
56.5075,-7.0464
56.3656,-2.6706
56.3495,-3.3368
56.3298,-4.0022
56.3066,-4.6665
56.2798,-5.3296
56.2495,-5.9912
56.0606,-2.3153
56.0465,-2.9758
56.0289,-3.6355
56.0077,-4.2942
55.9831,-4.9517
55.9549,-5.6080
55.9233,-6.2628
55.7554,-1.9665
55.7432,-2.6212
55.7275,-3.2752
55.7084,-3.9283
55.6858,-4.5805
55.6598,-5.2314
55.6303,-5.8810
55.5975,-6.5291
55.4499,-1.6239
55.4396,-2.2729
55.4259,-2.9213
55.4087,-3.5689
55.3881,-4.2157
55.3642,-4.8613
55.3368,-5.5057
