lat,lon,cell_index,cell_neighbour_indexes
60.8333,-0.7697,10797,10653_10796_10654_10798_10941_10942
60.5094,-1.1421,10798,10654_10797_10655_10799_10942_10943
60.1915,-0.7534,10943,10798_10942_10799_10944_11088_11089
60.1851,-1.5065,10799,10655_10798_10656_10800_10943_10944
60.1744,-2.2591,10656,10513_10655_10514_10657_10799_10800
59.8688,-1.1181,10944,10799_10943_10800_10945_11089_11090
59.5457,-1.4751,10945,10800_10944_10801_10946_11090_11091
59.5353,-2.2121,10801,10657_10800_10658_10802_10945_10946
59.5208,-2.9483,10658,10515_10657_10516_10659_10801_10802
59.2100,-2.5537,10802,10658_10801_10659_10803_10946_10947
59.1937,-3.2819,10659,10516_10658_10517_10660_10802_10803
58.8845,-2.8882,10803,10659_10802_10660_10804_10947_10948
58.8664,-3.6085,10660,10517_10659_10518_10661_10803_10804
58.5588,-3.2158,10804,10660_10803_10661_10805_10948_10949
58.5390,-3.9283,10661,10518_10660_10519_10662_10804_10805
58.5153,-4.6397,10519,10377_10518_10378_10520_10661_10662
58.4561,-6.0579,10238,10098_10237_10099_10239_10378_10379
58.4208,-6.7644,10099,9960_10098_9961_10100_10238_10239
58.2507,-2.8305,10949,10804_10948_10805_10950_11094_11095
58.2331,-3.5366,10805,10661_10804_10662_10806_10949_10950
58.2116,-4.2415,10662,10519_10661_10520_10663_10805_10806
58.1863,-4.9452,10520,10378_10519_10379_10521_10662_10663
58.1242,-6.3478,10239,10099_10238_10100_10240_10379_10380
58.0874,-7.0464,10100,9961_10099_9962_10101_10239_10240
57.9073,-3.8508,10806,10662_10805_10663_10807_10950_10951
57.8843,-4.5482,10663,10520_10662_10521_10664_10806_10807
57.8574,-5.2443,10521,10379_10520_10380_10522_10663_10664
57.8268,-5.9388,10380,10239_10379_10240_10381_10521_10522
57.7924,-6.6316,10240,10100_10239_10101_10241_10380_10381
57.7542,-7.3225,10101,9962_10100_9963_10102_10240_10241
57.6423,-1.3884,11389,11241_11388_11242_11390_11537_11538
57.6328,-2.0821,11242,11095_11241_11096_11243_11389_11390
57.6195,-2.7751,11096,10950_11095_10951_11097_11242_11243
57.6024,-3.4674,10951,10806_10950_10807_10952_11096_11097
57.5816,-4.1586,10807,10663_10806_10664_10808_10951_10952
57.5570,-4.8487,10664,10521_10663_10522_10665_10807_10808
57.5286,-5.5373,10522,10380_10521_10381_10523_10664_10665
57.4966,-6.2243,10381,10240_10380_10241_10382_10522_10523
57.4608,-6.9096,10241,10101_10240_10102_10242_10381_10382
57.3232,-1.7184,11390,11242_11389_11243_11391_11538_11539
57.3120,-2.4051,11243,11096_11242_11097_11244_11390_11391
57.2970,-3.0911,11097,10951_11096_10952_11098_11243_11244
57.2783,-3.7762,10952,10807_10951_10808_10953_11097_11098
57.2559,-4.4603,10808,10664_10807_10665_10809_10952_10953
57.2298,-5.1430,10665,10522_10664_10523_10666_10808_10809
57.2000,-5.8243,10523,10381_10522_10382_10524_10665_10666
57.1666,-6.5040,10382,10241_10381_10242_10383_10523_10524
57.1295,-7.1818,10242,10102_10241_10103_10243_10382_10383
57.0040,-2.0421,11391,11243_11390_11244_11392_11539_11540
56.9911,-2.7218,11244,11097_11243_11098_11245_11391_11392
56.9745,-3.4009,11098,10952_11097_10953_11099_11244_11245
56.9543,-4.0789,10953,10808_10952_10809_10954_11098_11099
56.9304,-4.7559,10809,10665_10808_10666_10810_10953_10954
56.9028,-5.4315,10666,10523_10665_10524_10667_10809_10810
56.8717,-6.1055,10524,10382_10523_10383_10525_10666_10667
56.7986,-7.4485,10243,10103_10242_10104_10244_10383_10384
56.6848,-2.3594,11392,11244_11391_11245_11393_11540_11541
56.6703,-3.0324,11245,11098_11244_11099_11246_11392_11393
56.6521,-3.7045,11099,10953_11098_10954_11100_11245_11246
56.6303,-4.3756,10954,10809_10953_10810_10955_11099_11100
56.6050,-5.0456,10810,10666_10809_10667_10811_10954_10955
56.5760,-5.7141,10667,10524_10666_10525_10668_10810_10811
56.5435,-6.3811,10525,10383_10524_10384_10526_10667_10668
56.5075,-7.0464,10384,10243_10383_10244_10385_10525_10526
56.3656,-2.6706,11393,11245_11392_11246_11394_11541_11542
56.3495,-3.3368,11246,11099_11245_11100_11247_11393_11394
56.3298,-4.0022,11100,10954_11099_10955_11101_11246_11247
56.3066,-4.6665,10955,10810_10954_10811_10956_11100_11101
56.2798,-5.3296,10811,10667_10810_10668_10812_10955_10956
56.2495,-5.9912,10668,10525_10667_10526_10669_10811_10812
56.0606,-2.3153,11542,11393_11541_11394_11543_11691_11692
56.0465,-2.9758,11394,11246_11393_11247_11395_11542_11543
56.0289,-3.6355,11247,11100_11246_11101_11248_11394_11395
56.0077,-4.2942,11101,10955_11100_10956_11102_11247_11248
55.9831,-4.9517,10956,10811_10955_10812_10957_11101_11102
55.9549,-5.6080,10812,10668_10811_10669_10813_10956_10957
55.9233,-6.2628,10669,10526_10668_10527_10670_10812_10813
55.7554,-1.9665,11692,11542_11691_11543_11693_11842_11843
55.7432,-2.6212,11543,11394_11542_11395_11544_11692_11693
55.7275,-3.2752,11395,11247_11394_11248_11396_11543_11544
55.7084,-3.9283,11248,11101_11247_11102_11249_11395_11396
55.6858,-4.5805,11102,10956_11101_10957_11103_11248_11249
55.6598,-5.2314,10957,10812_10956_10813_10958_11102_11103
55.6303,-5.8810,10813,10669_10812_10670_10814_10957_10958
55.5975,-6.5291,10670,10527_10669_10528_10671_10813_10814
55.4499,-1.6239,11843,11692_11842_11693_11844_11994_11995
55.4396,-2.2729,11693,11543_11692_11544_11694_11843_11844
55.4259,-2.9213,11544,11395_11543_11396_11545_11693_11694
55.4087,-3.5689,11396,11248_11395_11249_11397_11544_11545
55.3881,-4.2157,11249,11102_11248_11103_11250_11396_11397
55.3642,-4.8613,11103,10957_11102_10958_11104_11249_11250
55.3368,-5.5057,10958,10813_10957_10814_10959_11103_11104
55.3061,-6.1488,10814,10670_10813_10671_10815_10958_10959
55.2721,-6.7903,10671,10528_10670_10529_10672_10814_10815
55.2347,-7.4300,10529,10387_10528_10388_10530_10671_10672
55.1443,-1.2874,11995,11843_11994_11844_11996_12147_12148
55.1358,-1.9308,11844,11693_11843_11694_11845_11995_11996
55.1239,-2.5736,11694,11544_11693_11545_11695_11844_11845
55.1087,-3.2158,11545,11396_11544_11397_11546_11694_11695
55.0901,-3.8571,11397,11249_11396_11250_11398_11545_11546
55.0681,-4.4975,11250,11103_11249_11104_11251_11397_11398
55.0429,-5.1368,11104,10958_11103_10959_11105_11250_11251
55.0142,-5.7748,10959,10814_10958_10815_10960_11104_11105
54.9823,-6.4114,10815,10671_10814_10672_10816_10959_10960
54.9471,-7.0464,10672,10529_10671_10530_10673_10815_10816
54.8385,-0.9570,12148,11995_12147_11996_12149_12301_12302
54.8318,-1.5947,11996,11844_11995_11845_11997_12148_12149
54.8218,-2.2320,11845,11694_11844_11695_11846_11996_11997
54.8084,-2.8687,11695,11545_11694_11546_11696_11845_11846
54.7918,-3.5048,11546,11397_11545_11398_11547_11695_11696
54.7718,-4.1400,11398,11250_11397_11251_11399_11546_11547
54.7485,-4.7741,11251,11104_11250_11105_11252_11398_11399
54.7219,-5.4071,11105,10959_11104_10960_11106_11251_11252
54.6920,-6.0388,10960,10815_10959_10816_10961_11105_11106
54.6589,-6.6690,10816,10672_10815_10673_10817_10960_10961
54.6226,-7.2976,10673,10530_10672_10531_10674_10816_10817
54.5327,-0.6323,12302,12148_12301_12149_12303_12456_12457
54.5277,-1.2645,12149,11996_12148_11997_12150_12302_12303
54.5195,-1.8963,11997,11845_11996_11846_11998_12149_12150
54.5080,-2.5277,11846,11695_11845_11696_11847_11997_11998
54.4931,-3.1585,11696,11546_11695_11547_11697_11846_11847
54.4751,-3.7885,11547,11398_11546_11399_11548_11696_11697
54.4013,-5.6724,11106,10960_11105_10961_11107_11252_11253
54.3703,-6.2978,10961,10816_10960_10817_10962_11106_11107
54.3360,-6.9218,10817,10673_10816_10674_10818_10961_10962
54.2986,-7.5441,10674,10531_10673_10532_10675_10817_10818
54.2268,-0.3134,12457,12302_12456_12303_12458_12612_12613
54.2236,-0.9400,12303,12149_12302_12150_12304_12457_12458
54.2171,-1.5665,12150,11997_12149_11998_12151_12303_12304
54.2073,-2.1925,11998,11846_11997_11847_11999_12150_12151
54.1943,-2.8180,11847,11696_11846_11697_11848_11998_11999
54.1781,-3.4429,11697,11547_11696_11548_11698_11847_11848
54.0812,-5.9327,11107,10961_11106_10962_11108_11253_11254
54.0490,-6.5520,10962,10817_10961_10818_10963_11107_11108
53.9210,0.0000,12613,12457_12612_12458_12614_12769_12770
53.9194,-0.6212,12458,12303_12457_12304_12459_12613_12614
53.9146,-1.2423,12304,12150_12303_12151_12305_12458_12459
53.9066,-1.8631,12151,11998_12150_11999_12152_12304_12305
53.8954,-2.4834,11999,11847_11998_11848_12000_12151_12152
53.8810,-3.1032,11848,11697_11847_11698_11849_11999_12000
53.6153,-0.3079,12614,12458_12613_12459_12615_12770_12771
53.6153,0.3079,12770,12613_12769_12614_12771_12927_12928
53.6121,-0.9237,12459,12304_12458_12305_12460_12614_12615
53.6058,-1.5392,12305,12151_12304_12152_12306_12459_12460
53.5963,-2.1544,12152,11999_12151_12000_12153_12305_12306
53.5837,-2.7691,12000,11848_11999_11849_12001_12152_12153
53.5679,-3.3832,11849,11698_11848_11699_11850_12000_12001
53.5270,-4.6088,11550,11401_11549_11402_11551_11699_11700
53.3112,0.0000,12771,12614_12770_12615_12772_12928_12929
53.3097,-0.6105,12615,12459_12614_12460_12616_12771_12772
53.3097,0.6105,12928,12770_12927_12771_12929_13086_13087
53.3050,-1.2209,12460,12305_12459_12306_12461_12615_12616
53.2972,-1.8310,12306,12152_12305_12153_12307_12460_12461
53.2863,-2.4406,12153,12000_12152_12001_12154_12306_12307
53.2723,-3.0498,12001,11849_12000_11850_12002_12153_12154
53.2552,-3.6582,11850,11699_11849_11700_11851_12001_12002
53.2351,-4.2658,11700,11550_11699_11551_11701_11850_11851
53.0073,-0.3027,12772,12615_12771_12616_12773_12929_12930
53.0073,0.3027,12929,12771_12928_12772_12930_13087_13088
53.0043,-0.9079,12616,12460_12615_12461_12617_12772_12773
53.0043,0.9079,13087,12928_13086_12929_13088_13246_13247
52.9981,-1.5129,12461,12306_12460_12307_12462_12616_12617
52.9981,1.5129,13246,13086_13245_13087_13247_13406_13407
52.9889,-2.1176,12307,12153_12306_12154_12308_12461_12462
52.9766,-2.7218,12154,12001_12153_12002_12155_12307_12308
52.9613,-3.3255,12002,11850_12001_11851_12003_12154_12155
52.9429,-3.9283,11851,11700_11850_11701_11852_12002_12003
52.9215,-4.5304,11701,11551_11700_11552_11702_11851_11852
52.7051,0.0000,12930,12772_12929_12773_12931_13088_13089
52.7036,0.6002,13088,12929_13087_12930_13089_13247_13248
52.7036,-0.6002,12773,12616_12772_12617_12774_12930_12931
52.6991,-1.2002,12617,12461_12616_12462_12618_12773_12774
52.6991,1.2002,13247,13087_13246_13088_13248_13407_13408
52.6915,-1.7999,12462,12307_12461_12308_12463_12617_12618
52.6915,1.7999,13407,13246_13406_13247_13408_13568_13569
52.6809,-2.3993,12308,12154_12307_12155_12309_12462_12463
52.6673,-2.9982,12155,12002_12154_12003_12156_12308_12309
52.6507,-3.5963,12003,11851_12002_11852_12004_12155_12156
52.6311,-4.1938,11852,11701_11851_11702_11853_12003_12004
52.4031,-0.2976,12931,12773_12930_12774_12932_13089_13090
52.4031,0.2976,13089,12930_13088_12931_13090_13248_13249
52.4001,-0.8926,12774,12617_12773_12618_12775_12931_12932
52.4001,0.8926,13248,13088_13247_13089_13249_13408_13409
52.3941,-1.4875,12618,12462_12617_12463_12619_12774_12775
52.3941,1.4875,13408,13247_13407_13248_13409_13569_13570
52.3852,-2.0821,12463,12308_12462_12309_12464_12618_12619
52.3852,2.0821,13569,13407_13568_13408_13570_13731_13732
52.3732,-2.6762,12309,12155_12308_12156_12310_12463_12464
52.3583,-3.2697,12156,12003_12155_12004_12157_12309_12310
52.3405,-3.8625,12004,11852_12003_11853_12005_12156_12157
52.3196,-4.4545,11853,11702_11852_11703_11854_12004_12005
52.1028,0.0000,13090,12931_13089_12932_13091_13249_13250
52.1013,-0.5902,12932,12774_12931_12775_12933_13090_13091
52.1013,0.5902,13249,13089_13248_13090_13250_13409_13410
52.0969,-1.1802,12775,12618_12774_12619_12776_12932_12933
52.0969,1.1802,13409,13248_13408_13249_13410_13570_13571
52.0895,1.7700,13570,13408_13569_13409_13571_13732_13733
52.0895,-1.7700,12619,12463_12618_12464_12620_12775_12776
52.0792,-2.3594,12464,12309_12463_12310_12465_12619_12620
52.0660,-2.9483,12310,12156_12309_12157_12311_12464_12465
52.0498,-3.5366,12157,12004_12156_12005_12158_12310_12311
52.0307,-4.1241,12005,11853_12004_11854_12006_12157_12158
52.0088,-4.7108,11854,11703_11853_11704_11855_12005_12006
51.9839,-5.2965,11704,11554_11703_11555_11705_11854_11855
51.8026,-0.2926,13091,12932_13090_12933_13092_13250_13251
51.8026,0.2926,13250,13090_13249_13091_13251_13410_13411
51.7997,-0.8779,12933,12775_12932_12776_12934_13091_13092
51.7997,0.8779,13410,13249_13409_13250_13411_13571_13572
51.7939,1.4629,13571,13409_13570_13410_13572_13733_13734
51.7939,-1.4629,12776,12619_12775_12620_12777_12933_12934
51.7852,-2.0477,12620,12464_12619_12465_12621_12776_12777
51.7736,-2.6320,12465,12310_12464_12311_12466_12620_12621
51.7591,-3.2158,12311,12157_12310_12158_12312_12465_12466
51.7417,-3.7989,12158,12005_12157_12006_12159_12311_12312
51.7215,-4.3812,12006,11854_12005_11855_12007_12158_12159
51.6984,-4.9626,11855,11704_11854_11705_11856_12006_12007
51.5042,0.0000,13251,13091_13250_13092_13252_13411_13412
51.5028,0.5805,13411,13250_13410_13251_13412_13572_13573
51.5028,-0.5805,13092,12933_13091_12934_13093_13251_13252
51.4985,-1.1608,12934,12776_12933_12777_12935_13092_13093
51.4985,1.1608,13572,13410_13571_13411_13573_13734_13735
51.4913,-1.7410,12777,12620_12776_12621_12778_12934_12935
51.4813,-2.3207,12621,12465_12620_12466_12622_12777_12778
51.4685,-2.9000,12466,12311_12465_12312_12467_12621_12622
51.4527,-3.4787,12312,12158_12311_12159_12313_12466_12467
51.4342,-4.0567,12159,12006_12158_12007_12160_12312_12313
