lat,lon,cell_index,cell_neighbour_indexes
63.7421,-1.2797,10083,9944_10082_9945_10084_10222_10223
63.4201,-0.8430,10223,10083_10222_10084_10224_10363_10364
63.4126,-1.6857,10084,9945_10083_9946_10085_10223_10224
63.0971,-0.4166,10364,10223_10363_10224_10365_10505_10506
63.0922,-1.2496,10224,10084_10223_10085_10225_10364_10365
63.0824,-2.0821,10085,9946_10084_9947_10086_10224_10225
62.7732,0.0000,10506,10364_10505_10365_10507_10648_10649
62.7708,-0.8234,10365,10224_10364_10225_10366_10506_10507
62.7636,-1.6465,10225,10085_10224_10086_10226_10365_10366
62.7516,-2.4690,10086,9947_10085_9948_10087_10225_10226
62.4485,-0.4070,10507,10365_10506_10366_10508_10649_10650
62.4485,0.4070,10649,10506_10648_10507_10650_10792_10793
62.4438,-1.2209,10366,10225_10365_10226_10367_10507_10508
62.4343,-2.0342,10226,10086_10225_10087_10227_10366_10367
62.4201,-2.8468,10087,9948_10086_9949_10088_10226_10227
62.1255,0.0000,10650,10507_10649_10508_10651_10793_10794
62.1231,-0.8047,10508,10366_10507_10367_10509_10650_10651
62.1231,0.8047,10793,10649_10792_10650_10794_10937_10938
62.1161,-1.6091,10367,10226_10366_10227_10368_10508_10509
62.1045,-2.4129,10227,10087_10226_10088_10228_10367_10368
62.0881,-3.2158,10088,9949_10087_9950_10089_10227_10228
61.8017,-0.3979,10651,10508_10650_10509_10652_10794_10795
61.8017,0.3979,10794,10650_10793_10651_10795_10938_10939
61.7971,-1.1934,10509,10367_10508_10368_10510_10651_10652
61.7971,1.1934,10938,10793_10937_10794_10939_11083_11084
61.7879,-1.9886,10368,10227_10367_10228_10369_10509_10510
61.7741,-2.7829,10228,10088_10227_10089_10229_10368_10369
61.7558,-3.5762,10089,9950_10088_9951_10090_10228_10229
61.4795,0.0000,10795,10651_10794_10652_10796_10939_10940
61.4773,-0.7869,10652,10509_10651_10510_10653_10795_10796
61.4773,0.7869,10939,10794_10938_10795_10940_11084_11085
61.4705,-1.5734,10510,10368_10509_10369_10511_10652_10653
61.4705,1.5734,11084,10938_11083_10939_11085_11230_11231
61.4591,-2.3594,10369,10228_10368_10229_10370_10510_10511
61.4433,-3.1444,10229,10089_10228_10090_10230_10369_10370
61.4230,-3.9283,10090,9951_10089_9952_10091_10229_10230
61.1567,-0.3891,10796,10652_10795_10653_10797_10940_10941
61.1567,0.3891,10940,10795_10939_10796_10941_11085_11086
61.1523,-1.1672,10653,10510_10652_10511_10654_10796_10797
61.1523,1.1672,11085,10939_11084_10940_11086_11231_11232
61.1433,-1.9449,10511,10369_10510_10370_10512_10653_10654
61.1300,-2.7218,10370,10229_10369_10230_10371_10511_10512
61.1121,-3.4978,10230,10090_10229_10091_10231_10370_10371
61.0899,-4.2725,10091,9952_10090_9953_10092_10230_10231
60.8355,0.0000,10941,10796_10940_10797_10942_11086_11087
60.8333,0.7697,11086,10940_11085_10941_11087_11232_11233
60.8267,-1.5392,10654,10511_10653_10512_10655_10797_10798
60.8267,1.5392,11232,11085_11231_11086_11233_11379_11380
60.8158,-2.3081,10512,10370_10511_10371_10513_10654_10655
60.8004,-3.0762,10371,10230_10370_10231_10372_10512_10513
60.7806,-3.8432,10231,10091_10230_10092_10232_10371_10372
60.7565,-4.6088,10092,9953_10091_9954_10093_10231_10232
60.5138,-0.3808,10942,10797_10941_10798_10943_11087_11088
60.5138,0.3808,11087,10941_11086_10942_11088_11233_11234
60.5095,1.1421,11233,11086_11232_11087_11234_11380_11381
60.5008,-1.9031,10655,10512_10654_10513_10656_10798_10799
60.4878,-2.6634,10513,10371_10512_10372_10514_10655_10656
60.4705,-3.4228,10372,10231_10371_10232_10373_10513_10514
60.4489,-4.1809,10232,10092_10231_10093_10233_10372_10373
60.4230,-4.9376,10093,9954_10092_9955_10094_10232_10233
60.1936,0.0000,11088,10942_11087_10943_11089_11234_11235
60.1915,0.7534,11234,11087_11233_11088_11235_11381_11382
60.1851,1.5065,11381,11233_11380_11234_11382_11529_11530
60.1595,-3.0109,10514,10372_10513_10373_10515_10656_10657
60.1403,-3.7617,10373,10232_10372_10233_10374_10514_10515
60.1169,-4.5112,10233,10093_10232_10094_10234_10373_10374
60.0893,-5.2591,10094,9955_10093_9956_10095_10233_10234
59.8730,-0.3727,11089,10943_11088_10944_11090_11235_11236
59.8730,0.3727,11235,11088_11234_11089_11236_11382_11383
59.8688,1.1181,11382,11234_11381_11235_11383_11530_11531
59.8604,-1.8631,10800,10656_10799_10657_10801_10944_10945
59.8604,1.8631,11530,11381_11529_11382_11531_11679_11680
59.8477,-2.6074,10657,10514_10656_10515_10658_10800_10801
59.8309,-3.3509,10515,10373_10514_10374_10516_10657_10658
59.8099,-4.0932,10374,10233_10373_10234_10375_10515_10516
59.7848,-4.8342,10234,10094_10233_10095_10235_10374_10375
59.7555,-5.5735,10095,9956_10094_9957_10096_10234_10235
59.5540,0.0000,11236,11089_11235_11090_11237_11383_11384
59.5519,-0.7377,11090,10944_11089_10945_11091_11236_11237
59.5519,0.7377,11383,11235_11382_11236_11384_11531_11532
59.5457,1.4751,11531,11382_11530_11383_11532_11680_11681
59.5022,-3.6835,10516,10374_10515_10375_10517_10658_10659
59.4795,-4.4175,10375,10234_10374_10235_10376_10516_10517
