lat,lon,vertex1_lat,vertex1_lon,vertex2_lat,vertex2_lon,vertex3_lat,vertex3_lon,vertex4_lat,vertex4_lon,vertex5_lat,vertex5_lon,vertex6_lat,vertex6_lon
63.7421,-1.2797,63.8546,-0.8566,63.6376,-0.8498,63.5261,-1.2695,63.6301,-1.6992,63.8469,-1.7129,63.9599,-1.2901
63.4201,-0.8430,63.5311,-0.4232,63.3144,-0.4199,63.2042,-0.8364,63.3094,-1.2595,63.5261,-1.2695,63.6376,-0.8498
63.4126,-1.6857,63.5261,-1.2695,63.3094,-1.2595,63.1969,-1.6725,63.2996,-2.0985,63.5161,-2.1152,63.6301,-1.6992
63.0971,-0.4166,63.2067,0.0000,62.9902,0.0000,62.8815,-0.4133,62.9878,-0.8299,63.2042,-0.8364,63.3144,-0.4199
63.0922,-1.2496,63.2042,-0.8364,62.9878,-0.8299,62.8766,-1.2399,62.9805,-1.6594,63.1969,-1.6725,63.3094,-1.2595
63.0824,-2.0821,63.1969,-1.6725,62.9805,-1.6594,62.8670,-2.0659,62.9684,-2.4883,63.1846,-2.5078,63.2996,-2.0985
62.7732,0.0000,62.8815,0.4133,62.6653,0.4102,62.5579,0.0000,62.6653,-0.4102,62.8815,-0.4133,62.9902,0.0000
62.7708,-0.8234,62.8815,-0.4133,62.6653,-0.4102,62.5555,-0.8171,62.6605,-1.2303,62.8766,-1.2399,62.9878,-0.8299
62.7636,-1.6465,62.8766,-1.2399,62.6605,-1.2303,62.5483,-1.6339,62.6509,-2.0499,62.8670,-2.0659,62.9805,-1.6594
62.7516,-2.4690,62.8670,-2.0659,62.6509,-2.0499,62.5364,-2.4500,62.6366,-2.8687,62.8525,-2.8910,62.9684,-2.4883
62.4485,-0.4070,62.5579,0.0000,62.3419,0.0000,62.2335,-0.4039,62.3396,-0.8109,62.5555,-0.8171,62.6653,-0.4102
62.4485,0.4070,62.5555,0.8171,62.3396,0.8109,62.2335,0.4039,62.3419,0.0000,62.5579,0.0000,62.6653,0.4102
62.4438,-1.2209,62.5555,-0.8171,62.3396,-0.8109,62.2288,-1.2116,62.3325,-1.6214,62.5483,-1.6339,62.6605,-1.2303
62.4343,-2.0342,62.5483,-1.6339,62.3325,-1.6214,62.2194,-2.0188,62.3207,-2.4313,62.5364,-2.4500,62.6509,-2.0499
62.4201,-2.8468,62.5364,-2.4500,62.3207,-2.4313,62.2053,-2.8252,62.3042,-3.2403,62.5198,-3.2651,62.6366,-2.8687
62.1255,0.0000,62.2335,0.4039,62.0178,0.4009,61.9107,0.0000,62.0178,-0.4009,62.2335,-0.4039,62.3419,0.0000
62.1231,-0.8047,62.2335,-0.4039,62.0178,-0.4009,61.9084,-0.7987,62.0132,-1.2025,62.2288,-1.2116,62.3396,-0.8109
62.1231,0.8047,62.2288,1.2116,62.0132,1.2025,61.9084,0.7987,62.0178,0.4009,62.2335,0.4039,62.3396,0.8109
62.1161,-1.6091,62.2288,-1.2116,62.0132,-1.2025,61.9014,-1.5971,62.0039,-2.0036,62.2194,-2.0188,62.3325,-1.6214
62.1045,-2.4129,62.2194,-2.0188,62.0039,-2.0036,61.8899,-2.3948,61.9900,-2.8039,62.2053,-2.8252,62.3207,-2.4313
62.0881,-3.2158,62.2053,-2.8252,61.9900,-2.8039,61.8737,-3.1916,61.9714,-3.6031,62.1866,-3.6305,62.3042,-3.2403
61.8017,-0.3979,61.9107,0.0000,61.6953,0.0000,61.5872,-0.3949,61.6931,-0.7927,61.9084,-0.7987,62.0178,-0.4009
61.8017,0.3979,61.9084,0.7987,61.6931,0.7927,61.5872,0.3949,61.6953,0.0000,61.9107,0.0000,62.0178,0.4009
61.7971,-1.1934,61.9084,-0.7987,61.6931,-0.7927,61.5826,-1.1846,61.6862,-1.5852,61.9014,-1.5971,62.0132,-1.2025
61.7971,1.1934,61.9014,1.5971,61.6862,1.5852,61.5826,1.1846,61.6931,0.7927,61.9084,0.7987,62.0132,1.2025
61.7879,-1.9886,61.9014,-1.5971,61.6862,-1.5852,61.5735,-1.9738,61.6747,-2.3770,61.8899,-2.3948,62.0039,-2.0036
61.7741,-2.7829,61.8899,-2.3948,61.6747,-2.3770,61.5599,-2.7623,61.6588,-3.1679,61.8737,-3.1916,61.9900,-2.8039
61.7558,-3.5762,61.8737,-3.1916,61.6588,-3.1679,61.5417,-3.5497,61.6382,-3.9576,61.8530,-3.9872,61.9714,-3.6031
61.4795,0.0000,61.5872,0.3949,61.3722,0.3920,61.2653,0.0000,61.3722,-0.3920,61.5872,-0.3949,61.6953,0.0000
61.4773,-0.7869,61.5872,-0.3949,61.3722,-0.3920,61.2631,-0.7811,61.3677,-1.1758,61.5826,-1.1846,61.6931,-0.7927
61.4773,0.7869,61.5826,1.1846,61.3677,1.1758,61.2631,0.7811,61.3722,0.3920,61.5872,0.3949,61.6931,0.7927
61.4705,-1.5734,61.5826,-1.1846,61.3677,-1.1758,61.2564,-1.5619,61.3587,-1.9592,61.5735,-1.9738,61.6862,-1.5852
61.4705,1.5734,61.5735,1.9738,61.3587,1.9592,61.2564,1.5619,61.3677,1.1758,61.5826,1.1846,61.6862,1.5852
61.4591,-2.3594,61.5735,-1.9738,61.3587,-1.9592,61.2452,-2.3421,61.3452,-2.7419,61.5599,-2.7623,61.6747,-2.3770
61.4433,-3.1444,61.5599,-2.7623,61.3452,-2.7419,61.2295,-3.1214,61.3271,-3.5236,61.5417,-3.5497,61.6588,-3.1679
61.4230,-3.9283,61.5417,-3.5497,61.3271,-3.5236,61.2093,-3.8996,61.3047,-4.3039,61.5190,-4.3358,61.6382,-3.9576
61.1567,-0.3891,61.2653,0.0000,61.0507,0.0000,60.9429,-0.3863,61.0484,-0.7754,61.2631,-0.7811,61.3722,-0.3920
61.1567,0.3891,61.2631,0.7811,61.0484,0.7754,60.9429,0.3863,61.0507,0.0000,61.2653,0.0000,61.3722,0.3920
61.1523,-1.1672,61.2631,-0.7811,61.0484,-0.7754,60.9384,-1.1587,61.0418,-1.5505,61.2564,-1.5619,61.3677,-1.1758
61.1523,1.1672,61.2564,1.5619,61.0418,1.5505,60.9384,1.1587,61.0484,0.7754,61.2631,0.7811,61.3677,1.1758
61.1433,-1.9449,61.2564,-1.5619,61.0418,-1.5505,60.9296,-1.9308,61.0307,-2.3250,61.2452,-2.3421,61.3587,-1.9592
61.1300,-2.7218,61.2452,-2.3421,61.0307,-2.3250,60.9163,-2.7021,61.0151,-3.0986,61.2295,-3.1214,61.3452,-2.7419
61.1121,-3.4978,61.2295,-3.1214,61.0151,-3.0986,60.8987,-3.4724,60.9952,-3.8712,61.2093,-3.8996,61.3271,-3.5236
