lat,lon
63.7421,-1.2797
63.4201,-0.8430
63.4126,-1.6857
63.0971,-0.4166
63.0922,-1.2496
63.0824,-2.0821
62.7732,0.0000
62.7708,-0.8234
62.7636,-1.6465
62.7516,-2.4690
62.4485,-0.4070
62.4485,0.4070
62.4438,-1.2209
62.4343,-2.0342
62.4201,-2.8468
62.1255,0.0000
62.1231,-0.8047
62.1231,0.8047
62.1161,-1.6091
62.1045,-2.4129
62.0881,-3.2158
61.8017,-0.3979
61.8017,0.3979
61.7971,-1.1934
61.7971,1.1934
61.7879,-1.9886
61.7741,-2.7829
61.7558,-3.5762
61.4795,0.0000
61.4773,-0.7869
61.4773,0.7869
61.4705,-1.5734
61.4705,1.5734
61.4591,-2.3594
61.4433,-3.1444
61.4230,-3.9283
61.1567,-0.3891
61.1567,0.3891
61.1523,-1.1672
61.1523,1.1672
61.1433,-1.9449
61.1300,-2.7218
61.1121,-3.4978
61.0899,-4.2725
60.8355,0.0000
60.8333,0.7697
60.8267,-1.5392
60.8267,1.5392
60.8158,-2.3081
60.8004,-3.0762
60.7806,-3.8432
60.7565,-4.6088
60.5138,-0.3808
60.5138,0.3808
60.5095,1.1421
60.5008,-1.9031
60.4878,-2.6634
60.4705,-3.4228
60.4489,-4.1809
60.4230,-4.9376
60.1936,0.0000
60.1915,0.7534
60.1851,1.5065
60.1595,-3.0109
60.1403,-3.7617
60.1169,-4.5112
60.0893,-5.2591
59.8730,-0.3727
59.8730,0.3727
59.8688,1.1181
59.8604,-1.8631
59.8604,1.8631
59.8477,-2.6074
59.8309,-3.3509
59.8099,-4.0932
59.7848,-4.8342
59.7555,-5.5735
59.5540,0.0000
59.5519,-0.7377
59.5519,0.7377
59.5457,1.4751
59.5022,-3.6835
59.4795,-4.4175
59.4526,-5.1501
59.4217,-5.8810
59.2345,-0.3651
59.2345,0.3651
59.2304,-1.0950
59.2304,1.0950
59.2223,-1.8247
59.2223,1.8247
59.1733,-4.0091
59.1489,-4.7349
59.1204,-5.4593
59.0880,-6.1819
