"datetime","average"
1514764800,0
1514768400,0
1514772000,0
1514775600,0
1514779200,0
1514782800,0
1514786400,0
1514790000,0
1514793600,0
1514797200,0
1514800800,0
1514804400,0
1514808000,0
1514811600,61
1514815200,439
1514818800,594
1514822400,675
1514826000,715
1514829600,719
1514833200,701
1514836800,653
1514840400,563
1514844000,406
1514847600,123
1517443200,6
1517446800,0
1517450400,0
1517454000,0
1517457600,0
1517461200,0
1517464800,0
1517468400,0
1517472000,0
1517475600,0
1517479200,0
1517482800,0
1517486400,0
1517490000,97
1517493600,323
1517497200,452
1517500800,537
1517504400,589
1517508000,612
1517511600,585
1517515200,529
1517518800,443
1517522400,322
1517526000,138
1519862400,57
1519866000,0
1519869600,0
1519873200,0
1519876800,0
1519880400,0
1519884000,0
1519887600,0
1519891200,0
1519894800,0
1519898400,0
1519902000,0
1519905600,17
1519909200,290
1519912800,480
1519916400,600
1519920000,663
1519923600,693
1519927200,698
1519930800,681
1519934400,641
1519938000,569
1519941600,460
1519945200,280
1522540800,175
1522544400,3
1522548000,0
1522551600,0
1522555200,0
1522558800,0
1522562400,0
1522566000,0
1522569600,0
1522573200,0
1522576800,0
1522580400,0
1522584000,100
1522587600,351
1522591200,525
1522594800,626
1522598400,682
1522602000,708
1522605600,713
1522609200,700
1522612800,670
1522616400,614
1522620000,530
1522623600,390
1525132800,217
1525136400,33
1525140000,0
1525143600,0
1525147200,0
1525150800,0
1525154400,0
1525158000,0
1525161600,0
1525165200,0
1525168800,0
1525172400,3
1525176000,155
1525179600,369
1525183200,511
1525186800,589
1525190400,631
1525194000,651
1525197600,655
1525201200,644
1525204800,617
1525208400,568
1525212000,499
1525215600,389
1527811200,205
1527814800,50
1527818400,0
1527822000,0
1527825600,0
1527829200,0
1527832800,0
1527836400,0
1527840000,0
1527843600,0
1527847200,0
1527850800,10
1527854400,172
1527858000,362
1527861600,481
1527865200,550
1527868800,590
1527872400,610
1527876000,613
1527879600,600
1527883200,571
1527886800,519
1527890400,448
1527894000,346
1530403200,148
1530406800,23
1530410400,0
1530414000,0
1530417600,0
1530421200,0
1530424800,0
1530428400,0
1530432000,0
1530435600,0
1530439200,0
1530442800,5
1530446400,157
1530450000,335
1530453600,454
1530457200,528
1530460800,572
1530464400,593
1530468000,595
1530471600,577
1530475200,538
1530478800,477
1530482400,401
1530486000,294
1533081600,113
1533085200,5
1533088800,0
1533092400,0
1533096000,0
1533099600,0
1533103200,0
1533106800,0
1533110400,0
1533114000,0
1533117600,0
1533121200,0
1533124800,102
1533128400,288
1533132000,432
1533135600,519
1533139200,572
1533142800,601
1533146400,606
1533150000,589
1533153600,548
1533157200,478
1533160800,390
1533164400,267
1535760000,76
1535763600,0
1535767200,0
1535770800,0
1535774400,0
1535778000,0
1535781600,0
1535785200,0
1535788800,0
1535792400,0
1535796000,0
1535799600,0
1535803200,18
1535806800,168
1535810400,342
1535814000,454
1535817600,522
1535821200,563
1535824800,575
1535828400,555
1535832000,509
1535835600,437
1535839200,348
1535842800,228
1538352000,14
1538355600,0
1538359200,0
1538362800,0
1538366400,0
1538370000,0
1538373600,0
1538377200,0
1538380800,0
1538384400,0
1538388000,0
1538391600,0
1538395200,1
1538398800,96
1538402400,275
1538406000,410
1538409600,491
1538413200,543
1538416800,567
1538420400,553
1538424000,514
1538427600,449
1538431200,358
1538434800,217
1541030400,2
1541034000,0
1541037600,0
1541041200,0
1541044800,0
1541048400,0
1541052000,0
1541055600,0
1541059200,0
1541062800,0
1541066400,0
1541070000,0
1541073600,0
1541077200,54
1541080800,304
1541084400,493
1541088000,596
1541091600,649
1541095200,666
1541098800,667
1541102400,639
1541106000,579
1541109600,479
1541113200,209
1543622400,0
1543626000,0
1543629600,0
1543633200,0
1543636800,0
1543640400,0
1543644000,0
1543647600,0
1543651200,0
1543654800,0
1543658400,0
1543662000,0
1543665600,0
1543669200,23
1543672800,265
1543676400,436
1543680000,526
1543683600,571
1543687200,587
1543690800,577
1543694400,543
1543698000,474
1543701600,355
1543705200,90
