"datetime","average"
1514764800,0
1514768400,0
1514772000,0
1514775600,0
1514779200,0
1514782800,0
1514786400,0
1514790000,0
1514793600,12
1514797200,58
1514800800,106
1514804400,141
1514808000,152
1514811600,130
1514815200,84
1514818800,26
1514822400,0
1514826000,0
1514829600,0
1514833200,0
1514836800,0
1514840400,0
1514844000,0
1514847600,0
1517443200,0
1517446800,0
1517450400,0
1517454000,0
1517457600,0
1517461200,0
1517464800,0
1517468400,38
1517472000,145
1517475600,237
1517479200,301
1517482800,331
1517486400,334
1517490000,297
1517493600,238
1517497200,150
1517500800,50
1517504400,1
1517508000,0
1517511600,0
1517515200,0
1517518800,0
1517522400,0
1517526000,0
1519862400,0
1519866000,0
1519869600,0
1519873200,0
1519876800,0
1519880400,0
1519884000,19
1519887600,96
1519891200,183
1519894800,264
1519898400,322
1519902000,358
1519905600,376
1519909200,335
1519912800,288
1519916400,223
1519920000,139
1519923600,48
1519927200,2
1519930800,0
1519934400,0
1519938000,0
1519941600,0
1519945200,0
1522540800,0
1522544400,0
1522548000,0
1522551600,0
1522555200,0
1522558800,26
1522562400,113
1522566000,217
1522569600,309
1522573200,375
1522576800,414
1522580400,437
1522584000,440
1522587600,404
1522591200,364
1522594800,311
1522598400,242
1522602000,156
1522605600,62
1522609200,5
1522612800,0
1522616400,0
1522620000,0
1522623600,0
1525132800,0
1525136400,0
1525140000,0
1525143600,0
1525147200,26
1525150800,146
1525154400,296
1525158000,413
1525161600,491
1525165200,542
1525168800,575
1525172400,590
1525176000,589
1525179600,571
1525183200,539
1525186800,491
1525190400,427
1525194000,335
1525197600,211
1525201200,70
1525204800,4
1525208400,0
1525212000,0
1525215600,0
1527811200,0
1527814800,0
1527818400,0
1527822000,2
1527825600,84
1527829200,226
1527832800,353
1527836400,451
1527840000,524
1527843600,574
1527847200,605
1527850800,615
1527854400,610
1527858000,590
1527861600,554
1527865200,506
1527868800,445
1527872400,364
1527876000,258
1527879600,126
1527883200,19
1527886800,0
1527890400,0
1527894000,0
1530403200,0
1530406800,0
1530410400,0
1530414000,1
1530417600,64
1530421200,214
1530424800,352
1530428400,454
1530432000,524
1530435600,567
1530439200,594
1530442800,603
1530446400,596
1530450000,572
1530453600,532
1530457200,477
1530460800,413
1530464400,327
1530468000,217
1530471600,87
1530475200,8
1530478800,0
1530482400,0
1530486000,0
1533081600,0
1533085200,0
1533088800,0
1533092400,0
1533096000,4
1533099600,80
1533103200,202
1533106800,310
1533110400,393
1533114000,448
1533117600,485
1533121200,508
1533124800,513
1533128400,485
1533132000,444
1533135600,386
1533139200,311
1533142800,211
1533146400,97
1533150000,12
1533153600,0
1533157200,0
1533160800,0
1533164400,0
1535760000,0
1535763600,0
1535767200,0
1535770800,0
1535774400,0
1535778000,4
1535781600,81
1535785200,203
1535788800,309
1535792400,384
1535796000,431
1535799600,455
1535803200,463
1535806800,443
1535810400,414
1535814000,358
1535817600,273
1535821200,143
1535824800,15
1535828400,0
1535832000,0
1535835600,0
1535839200,0
1535842800,0
1538352000,0
1538355600,0
1538359200,0
1538362800,0
1538366400,0
1538370000,0
1538373600,2
1538377200,46
1538380800,148
1538384400,243
1538388000,314
1538391600,359
1538395200,375
1538398800,362
1538402400,326
1538406000,255
1538409600,146
1538413200,14
1538416800,0
1538420400,0
1538424000,0
1538427600,0
1538431200,0
1538434800,0
1541030400,0
1541034000,0
1541037600,0
1541041200,0
1541044800,0
1541048400,0
1541052000,0
1541055600,1
1541059200,28
1541062800,96
1541066400,166
1541070000,221
1541073600,240
1541077200,222
1541080800,172
1541084400,95
1541088000,7
1541091600,0
1541095200,0
1541098800,0
1541102400,0
1541106000,0
1541109600,0
1541113200,0
1543622400,0
1543626000,0
1543629600,0
1543633200,0
1543636800,0
1543640400,0
1543644000,0
1543647600,0
1543651200,4
1543654800,35
1543658400,81
1543662000,114
1543665600,121
1543669200,98
1543672800,57
1543676400,13
1543680000,0
1543683600,0
1543687200,0
1543690800,0
1543694400,0
1543698000,0
1543701600,0
1543705200,0
