country_code,year,vs mean,vs median
AUS,1985,58.98,64.65
AUS,1986,57.15,62.77
AUS,1987,57.49,62.95
AUS,1988,57.24,63.06
AUS,1989,56.15,62.33
AUS,1990,57.55,62.88
AUS,1991,58.99,64.96
AUS,1992,58.63,64.95
AUS,1993,55.43,62.10
AUS,1994,54.66,61.51
AUS,1995,54.19,61.40
AUS,1996,52.50,60.45
AUS,1997,51.27,59.90
AUS,1998,52.15,60.72
AUS,1999,50.91,59.11
AUS,2000,49.96,57.69
AUS,2001,49.51,58.14
AUS,2002,50.04,57.52
AUS,2003,49.82,58.31
AUS,2004,50.26,58.42
AUS,2005,49.48,57.46
AUS,2006,46.35,53.82
AUS,2007,45.47,54.47
AUS,2008,45.01,52.21
AUS,2009,44.61,54.38
AUS,2010,45.12,54.28
AUS,2011,45.16,53.57
AUS,2012,44.04,52.73
AUS,2013,43.79,53.96
AUS,2014,43.68,53.05
AUS,2015,44.29,53.30
AUS,2016,44.69,53.82
AUS,2017,44.78,54.25
AUS,2018,44.78,53.59
AUS,2019,44.57,53.84
AUS,2020,44.81,52.60
AUS,2021,43.57,51.54
AUS,2022,44.33,53.60
AUS,2023,46.56,55.17
AUS,2024,44.55,53.88
BEL,1975,46.47,54.59
BEL,1976,45.65,53.62
BEL,1977,45.23,53.13
BEL,1978,44.41,52.18
BEL,1979,43.74,51.38
BEL,1980,43.44,51.03
BEL,1981,44.96,52.82
BEL,1982,47.25,55.51
BEL,1983,48.17,56.59
BEL,1984,48.17,56.59
BEL,1985,48.09,56.49
BEL,1986,48.50,56.97
BEL,1987,48.24,56.67
BEL,1988,48.35,56.80
BEL,1989,47.87,56.24
BEL,1990,47.03,55.25
BEL,1991,47.11,55.34
BEL,1992,48.02,56.42
BEL,1993,47.96,56.35
BEL,1994,47.61,55.92
BEL,1995,47.66,55.99
BEL,1996,47.10,55.50
BEL,1997,46.30,54.72
BEL,1998,45.12,53.49
BEL,1999,44.16,51.97
BEL,2000,42.89,50.50
BEL,2001,42.19,49.62
BEL,2002,42.60,50.14
BEL,2003,42.13,48.76
BEL,2004,41.10,48.39
BEL,2005,41.19,48.30
BEL,2006,40.41,47.55
BEL,2007,40.53,47.90
BEL,2008,40.95,47.96
BEL,2009,41.48,49.43
BEL,2010,40.57,48.26
BEL,2011,40.67,48.64
BEL,2012,40.64,48.32
BEL,2013,41.26,49.36
BEL,2014,39.80,47.26
BEL,2015,39.54,45.33
BEL,2016,39.43,45.71
BEL,2017,39.44,45.28
BEL,2018,39.13,42.69
BEL,2019,38.52,41.99
BEL,2020,38.15,41.64
BEL,2021,37.60,41.04
BEL,2022,42.26,46.13
BEL,2023,44.65,48.73
BEL,2024,45.38,49.53
BGR,2006,40.40,54.50
BGR,2014,39.90,55.50
BGR,2018,42.28,57.31
BGR,2019,41.43,57.50
BGR,2020,41.08,56.16
BGR,2021,39.31,53.74
BGR,2022,37.78,51.64
BGR,2023,36.26,49.56
BGR,2024,37.61,51.41
CAN,1965,45.59,47.94
CAN,1966,43.78,46.34
CAN,1967,44.16,46.58
CAN,1968,43.37,45.96
CAN,1969,46.30,49.02
CAN,1970,46.05,48.73
CAN,1971,47.63,50.33
CAN,1972,46.49,49.07
CAN,1973,47.71,50.28
CAN,1974,49.05,51.75
CAN,1975,49.08,51.84
CAN,1976,48.92,51.71
CAN,1977,46.43,49.06
CAN,1978,44.85,47.36
CAN,1979,43.31,45.74
CAN,1980,41.01,43.32
CAN,1981,39.89,43.37
CAN,1982,37.51,42.11
CAN,1983,34.03,38.92
CAN,1984,33.98,39.27
CAN,1985,33.82,39.29
CAN,1986,33.56,37.95
CAN,1987,34.14,37.90
CAN,1988,34.53,38.08
CAN,1989,34.73,38.93
CAN,1990,35.01,38.43
CAN,1991,34.97,38.60
CAN,1992,36.46,39.56
CAN,1993,37.28,41.69
CAN,1994,38.01,41.77
CAN,1995,38.74,43.02
CAN,1996,38.84,43.33
CAN,1997,39.00,43.00
CAN,1998,38.78,42.26
CAN,1999,38.51,42.17
CAN,2000,37.64,41.40
CAN,2001,36.96,40.38
CAN,2002,36.33,40.24
CAN,2003,36.02,40.03
CAN,2004,35.87,39.39
CAN,2005,35.93,40.26
CAN,2006,35.45,40.00
CAN,2007,35.11,39.64
CAN,2008,35.90,41.44
CAN,2009,36.73,41.92
CAN,2010,37.92,42.83
CAN,2011,38.35,43.86
CAN,2012,38.62,44.02
CAN,2013,38.38,43.93
CAN,2014,38.65,43.99
CAN,2015,38.70,44.43
CAN,2016,38.99,44.23
CAN,2017,39.71,45.48
CAN,2018,43.86,51.40
