Windfarm,Installed Capacity (MW),Area (km²),Capacity Factor (%),Data Period,Installed Power Density (W/m²),Realised Power Density (W/m²)
HornseaTwo,1386.0,462.0,41.4,2023 - 2024,3.0,1.2
HornseaOne,1218.0,407.3,46.1,2021 - 2023,3.0,1.4
Seagreen,1075.0,332.0,15.6,2023 - 2024,3.2,0.5
MorayEast,950.0,295.6,25.3,2022 - 2024,3.2,0.8
TritonKnoll,857.0,149.0,40.6,2023 - 2024,5.8,2.4
EastAngliaOne,714.0,162.8,46.9,"2021, 2023",4.4,2.1
WalneyExtension,659.0,149.1,44.3,2020 - 2023,4.4,1.9
LondonArray,630.0,106.9,41.9,2020 - 2023,5.9,2.5
Beatrice,588.0,131.3,38.8,2020 - 2023,4.5,1.7
GwyntyMor,576.0,68.0,35.2,"2020, 2022 - 2023",8.5,3.0
RaceBank,573.0,62.4,43.8,2020 - 2023,9.2,4.0
GreaterGabbard,504.0,146.1,39.1,2020 - 2023,3.4,1.3
Dudgeon,402.0,55.1,45.7,2020 - 2023,7.3,3.3
Rampion,400.0,56.3,41.1,2021 - 2023,7.1,2.9
WestOfDuddonSands,389.0,67.0,43.8,2020 - 2023,5.8,2.5
Galloper,353.0,113.7,47.3,2021 - 2023,3.1,1.5
SheringhamShoals,316.8,35.0,36.5,2022 - 2023,9.1,3.3
Lincs,270.0,38.9,41.7,2020 - 2023,6.9,2.9
BurboBankExtension,254.0,39.6,40.1,2020 - 2023,6.4,2.6
HumberGateway,219.0,27.0,42.6,2020 - 2023,8.1,3.5
WestermostRough,210.0,34.9,46.0,2020 - 2023,6.0,2.8
Walney1,184.0,27.1,36.8,2020 - 2023,6.8,2.5
Walney2,184.0,45.9,43.8,2020 - 2023,4.0,1.8
RobinRigg,174.0,18.3,36.0,2020 - 2023,9.5,3.4
GunfleetSands,173.0,15.8,35.4,2020 - 2023,10.9,3.9
Ormonde,150.0,9.9,39.8,2020,15.2,6.0
Aberdeen,96.8,20.0,36.8,2020,4.8,1.8
BurboBank,90.0,10.0,31.8,2020 - 2023,9.0,2.9
Barrow,90.0,10.0,31.7,2021 - 2022,9.0,2.9
Kincardine,50.0,20.0,19.3,2020 - 2023,2.5,0.5
HywindScotland,30.0,15.4,50.8,2020 - 2023,1.9,1.0
