"datetime","average"
1514764800,420
1514768400,452
1514772000,464
1514775600,463
1514779200,454
1514782800,441
1514786400,429
1514790000,417
1514793600,406
1514797200,396
1514800800,387
1514804400,380
1514808000,374
1514811600,364
1514815200,308
1514818800,272
1514822400,305
1514826000,331
1514829600,337
1514833200,339
1514836800,338
1514840400,333
1514844000,328
1514847600,365
1517443200,429
1517446800,466
1517450400,475
1517454000,468
1517457600,453
1517461200,435
1517464800,419
1517468400,407
1517472000,398
1517475600,390
1517479200,383
1517482800,378
1517486400,373
1517490000,360
1517493600,324
1517497200,337
1517500800,363
1517504400,373
1517508000,375
1517511600,378
1517515200,380
1517518800,376
1517522400,365
1517526000,371
1519862400,451
1519866000,511
1519869600,539
1519873200,546
1519876800,540
1519880400,527
1519884000,512
1519887600,493
1519891200,475
1519894800,451
1519898400,430
1519902000,415
1519905600,404
1519909200,353
1519912800,357
1519916400,415
1519920000,422
1519923600,409
1519927200,397
1519930800,389
1519934400,386
1519938000,387
1519941600,387
1519945200,396
1522540800,471
1522544400,530
1522548000,558
1522551600,558
1522555200,546
1522558800,529
1522562400,511
1522566000,494
1522569600,480
1522573200,463
1522576800,445
1522580400,432
1522584000,409
1522587600,378
1522591200,430
1522594800,458
1522598400,450
1522602000,434
1522605600,422
1522609200,417
1522612800,419
1522616400,424
1522620000,432
1522623600,444
1525132800,420
1525136400,488
1525140000,535
1525143600,544
1525147200,534
1525150800,517
1525154400,495
1525158000,472
1525161600,446
1525165200,410
1525168800,374
1525172400,345
1525176000,295
1525179600,305
1525183200,333
1525186800,325
1525190400,303
1525194000,290
1525197600,289
1525201200,295
1525204800,308
1525208400,325
1525212000,347
1525215600,374
1527811200,453
1527814800,511
1527818400,555
1527822000,562
1527825600,552
1527829200,532
1527832800,506
1527836400,475
1527840000,442
1527843600,402
1527847200,363
1527850800,329
1527854400,313
1527858000,364
1527861600,373
1527865200,348
1527868800,317
1527872400,300
1527876000,300
1527879600,310
1527883200,327
1527886800,350
1527890400,380
1527894000,417
1530403200,297
1530406800,370
1530410400,423
1530414000,430
1530417600,414
1530421200,387
1530424800,354
1530428400,320
1530432000,287
1530435600,250
1530439200,218
1530442800,193
1530446400,157
1530450000,175
1530453600,179
1530457200,152
1530460800,129
1530464400,123
1530468000,128
1530471600,141
1530475200,159
1530478800,181
1530482400,208
1530486000,241
1533081600,321
1533085200,401
1533088800,444
1533092400,451
1533096000,437
1533099600,411
1533103200,380
1533106800,348
1533110400,317
1533114000,282
1533117600,248
1533121200,222
1533124800,188
1533128400,203
1533132000,239
1533135600,224
1533139200,196
1533142800,181
1533146400,178
1533150000,185
1533153600,197
1533157200,215
1533160800,243
1533164400,278
1535760000,270
1535763600,325
1535767200,342
1535770800,335
1535774400,314
1535778000,290
1535781600,268
1535785200,250
1535788800,235
1535792400,215
1535796000,198
1535799600,189
1535803200,181
1535806800,158
1535810400,180
1535814000,190
1535817600,185
1535821200,181
1535824800,179
1535828400,182
1535832000,186
1535835600,195
1535839200,210
1535842800,228
1538352000,335
1538355600,376
1538359200,389
1538362800,387
1538366400,378
1538370000,368
1538373600,360
1538377200,354
1538380800,349
1538384400,338
1538388000,327
1538391600,322
1538395200,319
1538398800,295
1538402400,283
1538406000,303
1538409600,312
1538413200,303
1538416800,291
1538420400,284
1538424000,283
1538427600,284
1538431200,283
1538434800,291
1541030400,364
1541034000,394
1541037600,408
1541041200,413
1541044800,411
1541048400,405
1541052000,397
1541055600,389
1541059200,381
1541062800,372
1541066400,366
1541070000,363
1541073600,362
1541077200,357
1541080800,312
1541084400,283
1541088000,310
1541091600,331
1541095200,336
1541098800,334
1541102400,330
1541106000,321
1541109600,309
1541113200,329
1543622400,416
1543626000,443
1543629600,453
1543633200,453
1543636800,448
1543640400,441
1543644000,435
1543647600,431
1543651200,424
1543654800,413
1543658400,404
1543662000,398
1543665600,395
1543669200,390
1543672800,345
1543676400,305
1543680000,322
1543683600,336
1543687200,340
1543690800,339
1543694400,336
1543698000,327
1543701600,319
1543705200,351
