"datetime","average"
1514764800,479
1514768400,491
1514772000,497
1514775600,498
1514779200,492
1514782800,482
1514786400,470
1514790000,458
1514793600,447
1514797200,442
1514800800,445
1514804400,453
1514808000,463
1514811600,468
1514815200,464
1514818800,460
1514822400,455
1514826000,448
1514829600,438
1514833200,433
1514836800,434
1514840400,438
1514844000,443
1514847600,449
1517443200,448
1517446800,461
1517450400,472
1517454000,480
1517457600,484
1517461200,481
1517464800,476
1517468400,468
1517472000,461
1517475600,454
1517479200,445
1517482800,441
1517486400,443
1517490000,447
1517493600,449
1517497200,456
1517500800,466
1517504400,469
1517508000,466
1517511600,462
1517515200,458
1517518800,456
1517522400,453
1517526000,455
1519862400,469
1519866000,486
1519869600,499
1519873200,507
1519876800,511
1519880400,513
1519884000,515
1519887600,514
1519891200,511
1519894800,507
1519898400,504
1519902000,502
1519905600,499
1519909200,496
1519912800,496
1519916400,486
1519920000,466
1519923600,442
1519927200,420
1519930800,408
1519934400,404
1519938000,408
1519941600,419
1519945200,434
1522540800,404
1522544400,429
1522548000,451
1522551600,466
1522555200,471
1522558800,468
1522562400,461
1522566000,451
1522569600,441
1522573200,430
1522576800,422
1522580400,424
1522584000,434
1522587600,445
1522591200,456
1522594800,457
1522598400,446
1522602000,429
1522605600,414
1522609200,403
1522612800,395
1522616400,392
1522620000,394
1522623600,402
1525132800,296
1525136400,324
1525140000,348
1525143600,372
1525147200,390
1525150800,396
1525154400,391
1525158000,376
1525161600,354
1525165200,328
1525168800,303
1525172400,286
1525176000,274
1525179600,266
1525183200,257
1525186800,239
1525190400,220
1525194000,206
1525197600,201
1525201200,203
1525204800,209
1525208400,219
1525212000,235
1525215600,259
1527811200,410
1527814800,445
1527818400,479
1527822000,515
1527825600,548
1527829200,566
1527832800,571
1527836400,563
1527840000,545
1527843600,517
1527847200,481
1527850800,446
1527854400,413
1527858000,382
1527861600,353
1527865200,323
1527868800,296
1527872400,281
1527876000,278
1527879600,284
1527883200,298
1527886800,318
1527890400,344
1527894000,374
1530403200,147
1530406800,170
1530410400,194
1530414000,217
1530417600,238
1530421200,254
1530424800,263
1530428400,260
1530432000,245
1530435600,220
1530439200,189
1530442800,158
1530446400,128
1530450000,108
1530453600,93
1530457200,80
1530460800,72
1530464400,69
1530468000,70
1530471600,76
1530475200,84
1530478800,95
1530482400,106
1530486000,120
1533081600,261
1533085200,297
1533088800,331
1533092400,360
1533096000,383
1533099600,389
1533103200,379
1533106800,353
1533110400,315
1533114000,270
1533117600,227
1533121200,192
1533124800,163
1533128400,144
1533132000,132
1533135600,124
1533139200,119
1533142800,120
1533146400,125
1533150000,135
1533153600,151
1533157200,172
1533160800,200
1533164400,231
1535760000,201
1535763600,222
1535767200,243
1535770800,262
1535774400,277
1535778000,285
1535781600,281
1535785200,269
1535788800,250
1535792400,218
1535796000,185
1535799600,159
1535803200,141
1535806800,128
1535810400,121
1535814000,117
1535817600,115
1535821200,113
1535824800,115
1535828400,119
1535832000,129
1535835600,144
1535839200,166
1535842800,190
1538352000,383
1538355600,415
1538359200,438
1538362800,452
1538366400,457
1538370000,452
1538373600,442
1538377200,429
1538380800,415
1538384400,398
1538388000,383
1538391600,375
1538395200,371
1538398800,367
1538402400,363
1538406000,354
1538409600,341
1538413200,327
1538416800,315
1538420400,310
1538424000,312
1538427600,322
1538431200,339
1538434800,364
1541030400,458
1541034000,473
1541037600,484
1541041200,489
1541044800,486
1541048400,477
1541052000,466
1541055600,458
1541059200,452
1541062800,442
1541066400,431
1541070000,428
1541073600,432
1541077200,437
1541080800,438
1541084400,438
1541088000,436
1541091600,434
1541095200,431
1541098800,427
1541102400,425
1541106000,424
1541109600,425
1541113200,433
1543622400,488
1543626000,500
1543629600,507
1543633200,510
1543636800,512
1543640400,513
1543644000,514
1543647600,519
1543651200,525
1543654800,525
1543658400,520
1543662000,515
1543665600,509
1543669200,506
1543672800,500
1543676400,491
1543680000,479
1543683600,467
1543687200,459
1543690800,454
1543694400,454
1543698000,454
1543701600,455
1543705200,461
