"datetime","average"
1514764800,586
1514768400,582
1514772000,581
1514775600,579
1514779200,578
1514782800,580
1514786400,583
1514790000,587
1514793600,588
1514797200,582
1514800800,582
1514804400,593
1514808000,607
1514811600,614
1514815200,617
1514818800,621
1514822400,622
1514826000,618
1514829600,614
1514833200,609
1514836800,605
1514840400,601
1514844000,596
1514847600,592
1517443200,525
1517446800,522
1517450400,520
1517454000,520
1517457600,519
1517461200,520
1517464800,521
1517468400,521
1517472000,516
1517475600,519
1517479200,535
1517482800,548
1517486400,551
1517490000,546
1517493600,536
1517497200,523
1517500800,521
1517504400,530
1517508000,533
1517511600,533
1517515200,533
1517518800,533
1517522400,532
1517526000,529
1519862400,508
1519866000,500
1519869600,495
1519873200,491
1519876800,489
1519880400,488
1519884000,487
1519887600,480
1519891200,481
1519894800,493
1519898400,505
1519902000,512
1519905600,516
1519909200,518
1519912800,518
1519916400,512
1519920000,502
1519923600,502
1519927200,512
1519930800,516
1519934400,515
1519938000,512
1519941600,506
1519945200,498
1522540800,430
1522544400,424
1522548000,418
1522551600,412
1522555200,407
1522558800,402
1522562400,389
1522566000,388
1522569600,406
1522573200,422
1522576800,432
1522580400,439
1522584000,445
1522587600,448
1522591200,449
1522594800,446
1522598400,437
1522602000,427
1522605600,430
1522609200,442
1522612800,445
1522616400,445
1522620000,443
1522623600,438
1525132800,336
1525136400,331
1525140000,327
1525143600,322
1525147200,317
1525150800,303
1525154400,288
1525158000,298
1525161600,318
1525165200,334
1525168800,344
1525172400,352
1525176000,358
1525179600,363
1525183200,365
1525186800,363
1525190400,356
1525194000,342
1525197600,330
1525201200,333
1525204800,342
1525208400,343
1525212000,340
1525215600,334
1527811200,294
1527814800,292
1527818400,291
1527822000,290
1527825600,283
1527829200,263
1527832800,262
1527836400,267
1527840000,272
1527843600,274
1527847200,276
1527850800,279
1527854400,282
1527858000,286
1527861600,290
1527865200,293
1527868800,294
1527872400,292
1527876000,286
1527879600,289
1527883200,303
1527886800,310
1527890400,310
1527894000,307
1530403200,263
1530406800,260
1530410400,257
1530414000,254
1530417600,248
1530421200,226
1530424800,215
1530428400,227
1530432000,240
1530435600,249
1530439200,257
1530442800,263
1530446400,268
1530450000,271
1530453600,271
1530457200,269
1530460800,266
1530464400,262
1530468000,258
1530471600,262
1530475200,274
1530478800,277
1530482400,273
1530486000,269
1533081600,345
1533085200,341
1533088800,338
1533092400,334
1533096000,331
1533099600,323
1533103200,305
1533106800,319
1533110400,346
1533114000,367
1533117600,381
1533121200,393
1533124800,402
1533128400,407
1533132000,407
1533135600,401
1533139200,386
1533142800,364
1533146400,347
1533150000,348
1533153600,351
1533157200,351
1533160800,350
1533164400,347
1535760000,484
1535763600,483
1535767200,482
1535770800,480
1535774400,479
1535778000,480
1535781600,473
1535785200,455
1535788800,467
1535792400,491
1535796000,505
1535799600,512
1535803200,517
1535806800,520
1535810400,521
1535814000,515
1535817600,496
1535821200,474
1535824800,474
1535828400,479
1535832000,481
1535835600,485
1535839200,488
1535842800,489
1538352000,515
1538355600,510
1538359200,508
1538362800,505
1538366400,504
1538370000,506
1538373600,508
1538377200,504
1538380800,489
1538384400,493
1538388000,512
1538391600,525
1538395200,530
1538398800,530
1538402400,525
1538406000,515
1538409600,510
1538413200,518
1538416800,522
1538420400,521
1538424000,520
1538427600,520
1538431200,518
1538434800,513
1541030400,557
1541034000,551
1541037600,548
1541041200,547
1541044800,549
1541048400,554
1541052000,560
1541055600,568
1541059200,571
1541062800,563
1541066400,564
1541070000,579
1541073600,587
1541077200,586
1541080800,581
1541084400,587
1541088000,604
1541091600,612
1541095200,610
1541098800,605
1541102400,597
1541106000,589
1541109600,582
1541113200,573
1543622400,513
1543626000,514
1543629600,517
1543633200,520
1543636800,522
1543640400,525
1543644000,526
1543647600,528
1543651200,530
1543654800,528
1543658400,523
1543662000,522
1543665600,524
1543669200,523
1543672800,522
1543676400,526
1543680000,527
1543683600,521
1543687200,516
1543690800,513
1543694400,509
1543698000,509
1543701600,510
1543705200,512
