"datetime","average"
1514764800,708
1514768400,708
1514772000,709
1514775600,711
1514779200,713
1514782800,714
1514786400,714
1514790000,713
1514793600,712
1514797200,710
1514800800,709
1514804400,709
1514808000,710
1514811600,712
1514815200,715
1514818800,718
1514822400,720
1514826000,721
1514829600,721
1514833200,719
1514836800,717
1514840400,716
1514844000,716
1514847600,715
1517443200,707
1517446800,707
1517450400,706
1517454000,704
1517457600,701
1517461200,696
1517464800,692
1517468400,688
1517472000,685
1517475600,681
1517479200,678
1517482800,674
1517486400,671
1517490000,669
1517493600,668
1517497200,667
1517500800,668
1517504400,673
1517508000,679
1517511600,685
1517515200,690
1517518800,695
1517522400,700
1517526000,703
1519862400,657
1519866000,654
1519869600,652
1519873200,652
1519876800,652
1519880400,654
1519884000,656
1519887600,658
1519891200,660
1519894800,661
1519898400,661
1519902000,659
1519905600,656
1519909200,653
1519912800,650
1519916400,647
1519920000,646
1519923600,647
1519927200,650
1519930800,652
1519934400,652
1519938000,650
1519941600,647
1519945200,643
1522540800,572
1522544400,570
1522548000,567
1522551600,564
1522555200,560
1522558800,559
1522562400,559
1522566000,560
1522569600,562
1522573200,565
1522576800,565
1522580400,564
1522584000,564
1522587600,565
1522591200,566
1522594800,569
1522598400,572
1522602000,576
1522605600,582
1522609200,588
1522612800,590
1522616400,591
1522620000,589
1522623600,586
1525132800,543
1525136400,536
1525140000,528
1525143600,519
1525147200,511
1525150800,505
1525154400,499
1525158000,496
1525161600,496
1525165200,499
1525168800,503
1525172400,509
1525176000,515
1525179600,521
1525183200,526
1525186800,531
1525190400,534
1525194000,535
1525197600,535
1525201200,536
1525204800,538
1525208400,538
1525212000,536
1525215600,533
1527811200,450
1527814800,450
1527818400,451
1527822000,452
1527825600,451
1527829200,448
1527832800,444
1527836400,441
1527840000,438
1527843600,436
1527847200,434
1527850800,434
1527854400,435
1527858000,439
1527861600,444
1527865200,451
1527868800,456
1527872400,460
1527876000,462
1527879600,464
1527883200,466
1527886800,466
1527890400,464
1527894000,463
1530403200,421
1530406800,417
1530410400,412
1530414000,405
1530417600,400
1530421200,395
1530424800,393
1530428400,395
1530432000,399
1530435600,403
1530439200,406
1530442800,408
1530446400,410
1530450000,411
1530453600,413
1530457200,416
1530460800,418
1530464400,420
1530468000,424
1530471600,427
1530475200,431
1530478800,433
1530482400,432
1530486000,429
1533081600,483
1533085200,479
1533088800,476
1533092400,472
1533096000,468
1533099600,468
1533103200,471
1533106800,477
1533110400,484
1533114000,492
1533117600,497
1533121200,500
1533124800,501
1533128400,500
1533132000,500
1533135600,500
1533139200,499
1533142800,498
1533146400,496
1533150000,494
1533153600,492
1533157200,490
1533160800,487
1533164400,483
1535760000,656
1535763600,657
1535767200,659
1535770800,661
1535774400,662
1535778000,664
1535781600,666
1535785200,667
1535788800,670
1535792400,673
1535796000,674
1535799600,676
1535803200,677
1535806800,675
1535810400,672
1535814000,669
1535817600,665
1535821200,663
1535824800,661
1535828400,659
1535832000,658
1535835600,659
1535839200,663
1535842800,664
1538352000,714
1538355600,709
1538359200,704
1538362800,701
1538366400,699
1538370000,699
1538373600,700
1538377200,699
1538380800,696
1538384400,694
1538388000,691
1538391600,688
1538395200,687
1538398800,686
1538402400,687
1538406000,688
1538409600,693
1538413200,699
1538416800,705
1538420400,710
1538424000,714
1538427600,717
1538431200,717
1538434800,715
1541030400,743
1541034000,742
1541037600,742
1541041200,740
1541044800,738
1541048400,736
1541052000,736
1541055600,736
1541059200,737
1541062800,736
1541066400,733
1541070000,729
1541073600,723
1541077200,718
1541080800,716
1541084400,717
1541088000,720
1541091600,724
1541095200,729
1541098800,735
1541102400,739
1541106000,744
1541109600,747
1541113200,748
1543622400,698
1543626000,694
1543629600,692
1543633200,691
1543636800,691
1543640400,692
1543644000,694
1543647600,696
1543651200,700
1543654800,703
1543658400,704
1543662000,705
1543665600,705
1543669200,703
1543672800,701
1543676400,700
1543680000,700
1543683600,701
1543687200,702
1543690800,702
1543694400,702
1543698000,700
1543701600,697
1543705200,694
